#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.34275    -1.34275           0
           2   -0.760086    -1.05142    0.206004
           3   -0.546116   -0.882985    0.194357
           4   -0.490468   -0.784856    0.168731
           5   -0.485865   -0.725058    0.145195
           6   -0.427323   -0.675435    0.129198
           7   -0.387653   -0.634324    0.117099
           8   -0.464403   -0.613084     0.10437
           9   -0.452426   -0.595233   0.0942879
          10   -0.417727   -0.577482   0.0865139
          11   -0.436516   -0.564667   0.0795924
          12    -0.39599   -0.550611   0.0741906
          13   -0.417051   -0.540337   0.0691913
          14   -0.420072   -0.531746   0.0647801
          15   -0.407773   -0.523482   0.0609864
          16   -0.386135   -0.514897   0.0577757
          17   -0.369012   -0.506316   0.0550108
          18   -0.342335   -0.497206   0.0527036
          19   -0.368782   -0.490447   0.0503612
          20   -0.345553   -0.483202   0.0483615
