#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95724     1.95724           0
           2     1.57097     1.76411    0.136568
           3     1.42872     1.65231    0.128925
           4     1.39165     1.58715    0.111958
           5     1.38857     1.54743   0.0963534
           6     1.34952     1.51445   0.0857547
           7     1.32311     1.48711   0.0777382
           8     1.37426     1.47301    0.069289
           9     1.36622     1.46114   0.0625978
          10     1.34305     1.44933   0.0574411
          11     1.35563     1.44081   0.0528471
          12     1.32861     1.43146   0.0492633
          13     1.34268     1.42463   0.0459448
          14     1.34475     1.41893   0.0430159
          15     1.33644     1.41343   0.0404981
          16     1.32203     1.40772   0.0383677
          17     1.31061       1.402   0.0365335
          18     1.29281     1.39594   0.0350039
          19     1.31048     1.39144   0.0334494
          20     1.29498     1.38662   0.0321227
