#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02407     2.27163    0.128643
           7     1.99302     2.23183     0.11626
           8       1.984     2.20085    0.105774
           9     1.98631     2.17702   0.0966703
          10     1.99881     2.15919   0.0886307
          11      1.9544     2.14058   0.0825056
          12     1.96874     2.12626   0.0768627
          13     2.03774     2.11945   0.0712512
          14     2.02921       2.113   0.0664527
          15      2.0142     2.10642   0.0623481
          16     1.98496     2.09883   0.0589116
          17     1.91197     2.08783   0.0564623
          18     1.94192     2.07973   0.0539043
          19     1.99141     2.07508   0.0512673
          20      1.9728     2.06997   0.0489583
