#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           1           0           0           0
           1  0.00905556  0.00905556           0
           1       0.051       0.051           0
           1     0.09125     0.09125           0
           1    0.103028    0.103028           0
           1    0.163778    0.163778           0
           1     0.18675     0.18675           0
           1       0.277       0.277           0
           1    0.333472    0.333472           0
           1      0.3055      0.3055           0
           1    0.342917    0.342917           0
           1    0.387139    0.387139           0
           1    0.378306    0.378306           0
           1    0.353972    0.353972           0
           1     0.50275     0.50275           0
           1    0.653194    0.653194           0
           1    0.404194    0.404194           0
           1    0.350861    0.350861           0
           1    0.286917    0.286917           0
           1    0.223722    0.223722           0
           1    0.150667    0.150667           0
           1     0.14675     0.14675           0
           1   0.0931111   0.0931111           0
           1   0.0696667   0.0696667           0
           1   0.0491944   0.0491944           0
           1   0.0253333   0.0253333           0
           1   0.0239167   0.0239167           0
           1   0.0173611   0.0173611           0
           1   0.0103333   0.0103333           0
           1  0.00886111  0.00886111           0


           2   0.0129722  0.00648611  0.00458637
           2   0.0276944    0.018375  0.00658984
           2   0.0852778   0.0681389    0.012119
           2    0.157556    0.124403   0.0234426
           2    0.150111    0.126569   0.0166465
           2    0.194972    0.179375   0.0110289
           2    0.317944    0.252347   0.0463842
           2    0.335222    0.306111   0.0205847
           2    0.420361    0.376917   0.0307199
           2    0.492167    0.398833   0.0659966
           2    0.551972    0.447444   0.0739123
           2    0.480139    0.433639   0.0328805
           2    0.470889    0.424597   0.0327332
           2    0.309139    0.331556    0.015851
           2    0.341361    0.422056   0.0570596
           2    0.324361    0.488778     0.11626
           2    0.239389    0.321792   0.0582676
           2    0.285639     0.31825   0.0230595
           2      0.2195    0.253208   0.0238354
           2    0.119222    0.171472   0.0369463
           2       0.215    0.182833   0.0227453
           2   0.0696111    0.108181   0.0272727
           2   0.0550833   0.0740972   0.0134448
           2   0.0356944   0.0526806    0.012011
           2   0.0562222   0.0527083  0.00248469
           2   0.0224444   0.0238889  0.00102138
           2   0.0100556   0.0169861  0.00490064
           2           0  0.00868056  0.00613808
           2           0  0.00516667  0.00365339
           2           0  0.00443056  0.00313288


           3  0.00138889  0.00478704  0.00335758
           3     0.03425   0.0236667  0.00616184
           3   0.0662222      0.0675  0.00809617
           3    0.122333    0.123713   0.0156385
           3    0.256889    0.170009   0.0371641
           3    0.399833    0.252861     0.06045
           3    0.311611    0.272102   0.0348767
           3    0.372306    0.328176   0.0226472
           3    0.568722    0.440852   0.0560764
           3    0.541861    0.446509   0.0587463
           3    0.561278    0.485389   0.0582054
           3    0.372944    0.413407   0.0274477
           3    0.311611    0.386935   0.0377071
           3    0.362472    0.341861   0.0135082
           3    0.312889    0.385667   0.0482679
           3    0.300556    0.426037   0.0929062
           3    0.266639    0.303407   0.0416444
           3    0.186222    0.274241   0.0390838
           3      0.1475    0.217972   0.0328667
           3   0.0759722    0.139639   0.0358086
           3    0.152222     0.17263   0.0173015
           3   0.0884444    0.101602   0.0189587
           3   0.0645556   0.0709167  0.00933185
           3   0.0481944   0.0511852  0.00809988
           3   0.0452778   0.0502315  0.00261414
           3      0.0225   0.0234259 0.000778806
           3  0.00433333   0.0127685  0.00474686
           3 0.000972222  0.00611111  0.00459851
           3           0  0.00344444  0.00281238
           3           0   0.0029537  0.00241169


           4           0  0.00359028  0.00272313
           4   0.0176944   0.0221736  0.00479886
           4   0.0440556   0.0616389  0.00791424
           4    0.131583    0.125681    0.011852
           4     0.21825    0.182069   0.0297656
           4    0.308833    0.266854   0.0469291
           4    0.308111    0.281104   0.0272946
           4    0.532111     0.37916   0.0473076
           4    0.561222    0.470944   0.0494772
           4    0.547444    0.471743   0.0491815
           4    0.468389    0.481139   0.0438089
           4    0.376056    0.404069   0.0221172
           4    0.390028    0.387708   0.0282882
           4    0.380111    0.351424   0.0130851
           4    0.396722    0.388431     0.03628
           4    0.222389    0.375125   0.0824578
           4    0.303972    0.303549   0.0312336
           4    0.210889    0.258403   0.0323631
           4    0.180694    0.208653   0.0259377
           4   0.0898889    0.127201   0.0289359
           4    0.128389    0.161569   0.0161284
           4   0.0831667   0.0969931   0.0147686
           4   0.0778333   0.0726458   0.0071573
           4   0.0221667   0.0439306  0.00873938
           4           0   0.0376736   0.0110507
           4           0   0.0175694  0.00510539
           4           0  0.00957639  0.00450742
