#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.977668   -0.977668           0
           2   -0.577882   -0.777775    0.141346
           3   -0.459591   -0.671713    0.127979
           4   -0.474315   -0.622364    0.105069
           5   -0.507215   -0.599334   0.0865425
           6   -0.526562   -0.587205   0.0729637
           7   -0.432827   -0.565151    0.065789
           8   -0.450179    -0.55078   0.0591143
           9   -0.406584   -0.534758   0.0546741
          10   -0.399963   -0.521279   0.0508412
          11   -0.415511   -0.511663   0.0471197
          12   -0.324314   -0.496051   0.0457064
          13    -0.37948   -0.487084   0.0430612
          14   -0.354096   -0.477585   0.0410197
          15   -0.366133   -0.470155   0.0389522
          16    -0.38987   -0.465137   0.0368395
          17   -0.400127   -0.461313   0.0348703
          18   -0.428396   -0.459484    0.032981
          19    -0.38396   -0.455509   0.0314838
          20   -0.447356   -0.455101   0.0299122
