#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46821     1.46821           0
           2     1.47073     1.46947 0.000887803
           3     1.47104     1.46999 0.000730718
           4     1.47097     1.47024 0.000587439
           5     1.47088     1.47037  0.00048358
           6     1.47097     1.47047 0.000413336
           7     1.47092     1.47053 0.000359205
           8     1.47102     1.47059 0.000319421
           9     1.47104     1.47064 0.000287793
          10     1.47103     1.47068 0.000261666
          11     1.47101     1.47071 0.000239567
          12     1.47109     1.47074 0.000221642
          13     1.47111     1.47077 0.000206378
          14     1.47105     1.47079 0.000192628
          15     1.47108     1.47081 0.000180776
          16     1.47107     1.47083 0.000170196
          17     1.47097     1.47083 0.000160393
          18     1.47093     1.47084 0.000151566
          19     1.47112     1.47085 0.000144316
          20       1.471     1.47086 0.000137272
