#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0571734   0.0571734           0
           2   0.0605044   0.0588389  0.00117768
           3   0.0565398   0.0580725  0.00100398
           4    0.053756   0.0569934  0.00120016
           5   0.0558809   0.0567709 0.000980537
           6   0.0570069   0.0568102 0.000817903
           7   0.0550671   0.0565612 0.000737994
           8   0.0576028   0.0566914  0.00065713
           9   0.0549188   0.0564945 0.000612921
          10   0.0581086   0.0566559 0.000572489
          11   0.0557712   0.0565754 0.000526063
          12   0.0580475   0.0566981 0.000496321
          13   0.0549134   0.0565608 0.000476751
          14   0.0563584   0.0565464 0.000442916
          15   0.0551449   0.0564529 0.000423129
          16   0.0567667   0.0564725 0.000397137
          17   0.0563777    0.056467 0.000373816
          18   0.0546734   0.0563673 0.000366088
          19   0.0563032   0.0563639 0.000346836
          20   0.0556549   0.0563285 0.000331301
