#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3152      1.3152           0
           2     1.32761      1.3214  0.00438591
           3     1.29461     1.31247  0.00785593
           4     1.27464     1.30302   0.0100892
           5     1.32331     1.30707  0.00885004
           6     1.34284     1.31303  0.00916535
           7     1.35106     1.31847  0.00932803
           8     1.37157      1.3251   0.0102551
           9     1.34326     1.32712  0.00931193
          10     1.31396     1.32581   0.0084732
          11     1.30591       1.324  0.00789365
          12     1.31335     1.32311  0.00728556
          13     1.33605     1.32411  0.00679283
          14     1.32944     1.32449   0.0063183
          15     1.31757     1.32402   0.0059139
          16     1.36157     1.32637  0.00599184
          17     1.37143     1.32902  0.00619786
          18     1.35375      1.3304  0.00600381
          19     1.30545     1.32908  0.00582957
          20     1.31817     1.32854  0.00556356
