#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.13344     3.13344           0
           2     3.22142     3.17743   0.0311045
           3     3.28791     3.21426   0.0365268
           4     3.24306     3.22146   0.0280961
           5     3.30187     3.23754   0.0266852
           6     3.33734     3.25417   0.0269273
           7     3.33588     3.26585   0.0254849
           8     3.25273     3.26421   0.0223519
           9     3.26569     3.26437    0.019869
          10     3.26881     3.26482   0.0178871
          11     3.29439      3.2675   0.0164618
          12     3.27394     3.26804   0.0150987
          13     3.29099     3.26981   0.0140402
          14     3.31313      3.2729    0.013374
          15     3.28003     3.27338   0.0124908
          16     3.28351     3.27401   0.0117262
          17     3.29241     3.27509   0.0110862
          18     3.25792     3.27414   0.0105113
          19      3.2687     3.27385  0.00996197
          20     3.28532     3.27443  0.00948037
