#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           1 1.85185e-05 1.85185e-05           0
           1 0.000689815 0.000689815           0
           1 0.000648148 0.000648148           0
           1  0.00728704  0.00728704           0
           1  0.00256944  0.00256944           0
           1 0.000587963 0.000587963           0
           1  0.00727315  0.00727315           0
           1   0.0251019   0.0251019           0
           1  0.00935648  0.00935648           0
           1  0.00962037  0.00962037           0
           1   0.0187037   0.0187037           0
           1   0.0292685   0.0292685           0
           1    0.040963    0.040963           0
           1   0.0310694   0.0310694           0
           1    0.441856    0.441856           0
           1    0.181648    0.181648           0
           1   0.0668519   0.0668519           0
           1   0.0395833   0.0395833           0
           1   0.0221481   0.0221481           0
           1   0.0254676   0.0254676           0
           1   0.0219537   0.0219537           0
           1  0.00557407  0.00557407           0
           1  0.00614815  0.00614815           0
           1  0.00312963  0.00312963           0
           1  0.00183333  0.00183333           0
           1 0.000648148 0.000648148           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0


           2           0 9.25926e-06 6.54729e-06
           2 4.62963e-05 0.000368056 0.000227518
           2 5.55556e-05 0.000351852 0.000209513
           2 0.000990741  0.00413889  0.00222608
           2   0.0069213  0.00474537  0.00153861
           2   0.0227685   0.0116782  0.00784201
           2  0.00869907  0.00798611 0.000504141
           2    0.026463   0.0257824 0.000481225
           2   0.0442639   0.0268102   0.0123416
           2   0.0413009   0.0254606   0.0112008
           2    0.074588   0.0466458   0.0197581
           2   0.0563565   0.0428125  0.00957704
           2   0.0712176   0.0560903   0.0106966
           2   0.0707963   0.0509329   0.0140456
           2   0.0941019    0.267979     0.12295
           2   0.0956574    0.138653   0.0304023
           2    0.103194   0.0850231    0.012849
           2   0.0630046    0.051294  0.00828068
           2   0.0429861   0.0325671  0.00736733
           2   0.0610278   0.0432477   0.0125724
           2   0.0496944   0.0358241  0.00980783
           2    0.026338    0.015956  0.00734114
           2    0.017875   0.0120116  0.00414607
           2   0.0148056  0.00896759  0.00412806
           2  0.00459722  0.00321528 0.000977182
           2 0.000569444 0.000608796  2.7826e-05
           2 1.85185e-05 9.25926e-06 6.54729e-06
           2 2.31481e-05 1.15741e-05 8.18411e-06
           2  0.00155093 0.000775463 0.000548335
           2  8.7963e-05 4.39815e-05 3.10996e-05


           3 0.000523148 0.000180556 0.000139931
           3  0.00145833 0.000731481 0.000333255
           3   0.0065463  0.00241667  0.00169169
           3   0.0125509   0.0069429  0.00272838
           3   0.0123472  0.00727932  0.00230927
           3   0.0192593   0.0142052  0.00562043
           3   0.0202361   0.0120694  0.00335093
           3   0.0394259   0.0303302  0.00372713
           3     0.03525   0.0296235  0.00854238
           3   0.0584398   0.0364537   0.0116758
           3   0.0735185   0.0556034   0.0150663
           3   0.0956204   0.0604151   0.0157268
           3   0.0715093   0.0612299  0.00827424
           3   0.0496019   0.0504892  0.00937071
           3    0.047875    0.194611    0.101524
           3   0.0559074    0.111071    0.030298
           3    0.071088   0.0803781   0.0093681
           3   0.0586296   0.0537392  0.00587039
           3   0.0577778   0.0409707  0.00843819
           3   0.0504167   0.0456373  0.00860572
           3    0.046963    0.039537  0.00720718
           3   0.0256343   0.0191821  0.00555793
           3   0.0181204   0.0140478  0.00322555
           3   0.0373194   0.0184182  0.00819247
           3   0.0141157  0.00684877  0.00303741
           3    0.007125  0.00278086  0.00177358
           3  0.00733333  0.00245062  0.00199337
           3  0.00246759 0.000830247 0.000668466
           3  0.00131019 0.000953704 0.000393461
           3  0.00162963 0.000572531 0.000432057


           4 0.000638889 0.000295139 0.000144434
           4   0.0016713 0.000966435 0.000322293
           4  0.00727315  0.00363079  0.00164783
           4  0.00531019  0.00653472  0.00207659
           4   0.0141574  0.00899884  0.00228413
           4   0.0231343   0.0164375  0.00463747
           4   0.0443472   0.0201389  0.00742651
           4   0.0443843   0.0338438  0.00413189
           4   0.0424537    0.032831  0.00698307
           4   0.0496944   0.0397639  0.00921412
           4   0.0870185   0.0634572   0.0131889
           4    0.080463   0.0654271   0.0125684
           4   0.0815231   0.0663032  0.00760357
           4   0.0379491   0.0473542  0.00753423
           4    0.039537    0.155843   0.0832165
           4   0.0734907    0.101676   0.0241363
           4   0.0564259     0.07439  0.00873259
           4    0.049787   0.0527512  0.00448517
           4   0.0481991   0.0427778  0.00651928
           4   0.0518241    0.047184  0.00659182
           4   0.0349028   0.0383785  0.00549772
           4   0.0450926   0.0256597  0.00698897
           4   0.0214444    0.015897  0.00290119
           4   0.0134074   0.0171655  0.00623939
           4  0.00784722  0.00709838  0.00228829
           4  0.00561111  0.00348843  0.00146454
           4  0.00750926  0.00371528  0.00185327
           4   0.0108148  0.00332639   0.0022191
           4  0.00636111  0.00230556  0.00120736
           4  0.00772685  0.00236111  0.00158249


           5 4.16667e-05 0.000244444 0.000124125
           5  0.00224537  0.00122222 0.000344703
           5   0.0122222  0.00534907   0.0020248
           5   0.0105648  0.00734074  0.00181096
           5   0.0165926   0.0105176  0.00227691
           5   0.0187269   0.0168954  0.00373251
           5   0.0302407   0.0221593  0.00620995
           5    0.035463   0.0341676  0.00331818
           5    0.066713   0.0396074  0.00824282
           5   0.0731481   0.0464407  0.00948685
           5   0.0794861    0.066663   0.0109338
           5   0.0581713   0.0639759   0.0101381
           5   0.0727731   0.0675972  0.00619198
           5   0.0781204   0.0535074  0.00816206
           5    0.071713    0.139017   0.0682531
           5   0.0418009   0.0897009   0.0220807
           5       0.057    0.070912  0.00764738
           5   0.0523009   0.0526611  0.00358904
           5   0.0270556   0.0396333  0.00592542
           5   0.0284074   0.0434287   0.0062523
           5   0.0279306   0.0362889  0.00477881
           5   0.0205926   0.0246463  0.00566417
           5   0.0309213   0.0189019  0.00355108
           5   0.0133102   0.0163944  0.00503893
           5   0.0137639  0.00843148  0.00218471
           5  0.00485648  0.00376204  0.00119692
           5  0.00821296  0.00461481  0.00168686
           5   0.0129213  0.00524537  0.00246933
           5   0.0142963   0.0047037  0.00235241
           5   0.0204074  0.00597037  0.00346758


           6 0.000472222 0.000282407 0.000109089
           6  0.00506019  0.00186188 0.000650758
           6  0.00700926  0.00562577  0.00170614
           6   0.0139444  0.00844136  0.00181299
           6   0.0257593   0.0130579  0.00299629
           6   0.0247963   0.0182122  0.00333463
           6   0.0436111   0.0257346  0.00611822
           6   0.0348981   0.0342894  0.00276738
           6   0.0527454   0.0417971  0.00715394
           6   0.0612361   0.0489066  0.00821994
           6   0.0762222   0.0682562  0.00922681
           6    0.050125   0.0616674  0.00870731
           6    0.086375   0.0707269   0.0058981
           6   0.0849769   0.0587523  0.00831791
           6   0.0607593    0.125974   0.0581104
           6   0.0812361   0.0882901   0.0184456
           6   0.0480556   0.0671026  0.00725988
           6    0.030662   0.0489946  0.00448866
           6   0.0244213    0.037098  0.00545335
           6   0.0238056   0.0401582  0.00600503
           6  0.00935185   0.0317994  0.00571449
           6   0.0166065   0.0233063  0.00487607
           6   0.0234398   0.0196582  0.00303871
           6   0.0223426   0.0173858  0.00429552
           6   0.0126389  0.00913272  0.00192985
           6   0.0103009  0.00485185  0.00140876
           6  0.00822685  0.00521682  0.00150932
           6    0.013787  0.00666898  0.00243379
           6   0.0154676  0.00649769  0.00255439
           6   0.0316667   0.0102531  0.00486156


           7 0.000648148 0.000334656 0.000105276
           7  0.00355556  0.00210384 0.000601091
           7   0.0134444  0.00674272  0.00179108
           7   0.0161574  0.00954365  0.00185913
           7   0.0187407   0.0138697  0.00267597
           7   0.0220093   0.0187546  0.00290204
           7   0.0459954    0.028629  0.00588916
           7   0.0484306   0.0363095   0.0030207
           7   0.0456204   0.0423433  0.00615276
           7   0.0507593   0.0491713  0.00704992
           7   0.0680694   0.0682295  0.00790873
           7   0.0607315   0.0615337  0.00746443
           7   0.0741157    0.071211  0.00507535
           7   0.0632222   0.0593909   0.0071541
           7   0.0571157    0.116137   0.0506347
           7   0.0670787   0.0852599   0.0160575
           7   0.0592963   0.0659874  0.00630783
           7   0.0435139   0.0482116  0.00391511
           7   0.0358426   0.0369187  0.00467725
           7   0.0300602   0.0387156  0.00531762
           7    0.020875   0.0302388   0.0051068
           7   0.0147963   0.0220906  0.00432839
           7   0.0299028   0.0211217  0.00293596
           7   0.0167731   0.0172983  0.00368277
           7   0.0225324    0.011047  0.00242427
           7      0.0335  0.00894444  0.00397676
           7  0.00780093  0.00558598  0.00133809
           7  0.00129167  0.00590079  0.00220401
           7  0.00827778  0.00675198   0.0022021
           7   0.0198426    0.011623   0.0043558


           8  0.00374537 0.000760995 0.000409304
           8  0.00349537  0.00227778 0.000550547
           8    0.011838  0.00737963  0.00167662
           8   0.0161713   0.0103721   0.0018019
           8   0.0208241    0.014739  0.00247865
           8   0.0282222   0.0199381   0.0027701
           8   0.0231528   0.0279444  0.00519265
           8   0.0427963   0.0371204  0.00274979
           8   0.0568472   0.0441562  0.00564446
           8   0.0670556   0.0514068  0.00651349
           8   0.0811759   0.0698478  0.00708378
           8   0.0512269   0.0602454  0.00664163
           8   0.0611852   0.0699578  0.00459305
           8    0.060088    0.059478  0.00626037
           8    0.061625    0.109323   0.0447615
           8   0.0474352   0.0805318     0.01473
           8    0.054213   0.0645156  0.00568847
           8   0.0438472   0.0476661  0.00346352
           8   0.0542315   0.0390828  0.00456588
           8   0.0338981   0.0381134  0.00468689
           8   0.0374028   0.0311343  0.00454628
           8   0.0366991   0.0239167  0.00415471
