#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59311     1.59311           0
           2     1.59637     1.59474  0.00115249
           3     1.59696     1.59548 0.000977211
           4       1.597     1.59586 0.000803391
           5     1.59699     1.59609 0.000673724
           6     1.59696     1.59623 0.000576838
           7     1.59703     1.59635 0.000505446
           8     1.59701     1.59643  0.00044898
           9     1.59695     1.59649 0.000402862
          10     1.59685     1.59652 0.000364207
          11     1.59691     1.59656 0.000332785
          12       1.597      1.5966  0.00030707
          13     1.59691     1.59662 0.000284387
          14     1.59699     1.59665 0.000265275
          15     1.59703     1.59667 0.000248846
          16     1.59703     1.59669 0.000234309
          17       1.597     1.59671 0.000221216
          18     1.59692     1.59672 0.000209215
          19     1.59683     1.59673 0.000198284
          20       1.597     1.59674 0.000188837
