#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02428     2.27167    0.128632
           7     1.98467     2.23067    0.116607
           8     2.06139     2.20951    0.103934
           9     2.04934     2.19171   0.0938967
          10     2.01458       2.174   0.0861617
          11     2.03344     2.16122   0.0792706
          12     1.99292      2.1472    0.073895
          13     2.01403     2.13695   0.0689171
          14     2.01712     2.12839   0.0645238
          15     2.00466     2.12014   0.0607472
          16     1.98305     2.11158   0.0575516
          17     1.96591     2.10301   0.0548003
          18     1.93921     2.09391   0.0525059
          19     1.96571     2.08716   0.0501741
          20     1.94248     2.07993   0.0481841
