#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           1           0           0           0
           1       0.163       0.163           0
           1       0.918       0.918           0
           1      1.6425      1.6425           0
           1      1.8545      1.8545           0
           1       2.948       2.948           0
           1      3.3615      3.3615           0
           1       4.986       4.986           0
           1      6.0025      6.0025           0
           1       5.499       5.499           0
           1      6.1725      6.1725           0
           1      6.9685      6.9685           0
           1      6.8095      6.8095           0
           1      6.3715      6.3715           0
           1      9.0495      9.0495           0
           1     11.7575     11.7575           0
           1      7.2755      7.2755           0
           1      6.3155      6.3155           0
           1      5.1645      5.1645           0
           1       4.027       4.027           0
           1       2.712       2.712           0
           1      2.6415      2.6415           0
           1       1.676       1.676           0
           1       1.254       1.254           0
           1      0.8855      0.8855           0
           1       0.456       0.456           0
           1      0.4305      0.4305           0
           1      0.3125      0.3125           0
           1       0.186       0.186           0
           1      0.1595      0.1595           0


           2      0.2335     0.11675   0.0825547
           2      0.4985     0.33075    0.118617
           2       1.535      1.2265    0.218142
           2       2.836     2.23925    0.421966
           2       2.702     2.27825    0.299636
           2      3.5095     3.22875     0.19852
           2       5.723     4.54225    0.834916
           2       6.034        5.51    0.370524
           2      7.5665      6.7845    0.552958
           2       8.859       7.179     1.18794
           2      9.9355       8.054     1.33042
           2      8.6425      7.8055    0.591848
           2       8.476     7.64275    0.589197
           2      5.5645       5.968    0.285318
           2      6.1445       7.597     1.02707
           2      5.8385       8.798     2.09268
           2       4.309     5.79225     1.04882
           2      5.1415      5.7285    0.415072
           2       3.951     4.55775    0.429037
           2       2.146      3.0865    0.665034
           2        3.87       3.291    0.409415
           2       1.253     1.94725    0.490909
           2      0.9915     1.33375    0.242007
           2      0.6425     0.94825    0.216198
           2       1.012     0.94875   0.0447245
           2       0.404        0.43   0.0183848
           2       0.181     0.30575   0.0882116
           2           0     0.15625    0.110485
           2           0       0.093   0.0657609
           2           0     0.07975   0.0563918


           3       0.025   0.0861667   0.0604365
           3      0.6165       0.426    0.110913
           3       1.192       1.215    0.145731
           3       2.202     2.22683    0.281493
           3       4.624     3.06017    0.668954
           3       7.197      4.5515      1.0881
           3       5.609     4.89783    0.627781
           3      6.7015     5.90717    0.407649
           3      10.237     7.93533     1.00938
           3      9.7535     8.03717     1.05743
           3      10.103       8.737      1.0477
           3       6.713     7.44133    0.494058
           3       5.609     6.96483    0.678727
           3      6.5245      6.1535    0.243147
           3       5.632       6.942    0.868822
           3        5.41     7.66867     1.67231
           3      4.7995     5.46133      0.7496
           3       3.352     4.93633    0.703508
           3       2.655      3.9235    0.591601
           3      1.3675      2.5135    0.644554
           3        2.74     3.10733    0.311427
           3       1.592     1.82883    0.341256
           3       1.162      1.2765    0.167973
           3      0.8675    0.921333    0.145798
           3       0.815    0.904167   0.0470545
           3       0.405    0.421667   0.0140185
           3       0.078    0.229833   0.0854434
           3      0.0175        0.11   0.0827731
           3           0       0.062   0.0506228
           3           0   0.0531667   0.0434104


           4           0    0.064625   0.0490164
           4      0.3185    0.399125   0.0863795
           4       0.793      1.1095    0.142456
           4      2.3685     2.26225    0.213336
           4      3.9285     3.27725    0.535782
           4       5.559     4.80337    0.844724
           4       5.546     5.05987    0.491304
           4       9.578     6.82487    0.851538
           4      10.102       8.477    0.890589
           4       9.854     8.49137    0.885267
           4       8.431      8.6605    0.788561
           4      6.7685     7.27313     0.39815
           4       7.021     6.97888    0.509191
