#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0702981   0.0702981           0
           2   0.0600866   0.0651923  0.00361031
           3   0.0575295    0.062638  0.00318474
           4    0.055157   0.0607678  0.00288593
           5   0.0582473   0.0602637  0.00235236
           6   0.0575868   0.0598175  0.00200216
           7   0.0544758   0.0590544  0.00185587
           8   0.0559736   0.0586693  0.00166336
           9   0.0567287   0.0584537  0.00149246
          10   0.0571453   0.0583229  0.00134893
          11   0.0562242   0.0581321  0.00123972
          12   0.0559935   0.0579539  0.00114915
          13   0.0555805   0.0577713  0.00107516
          14   0.0574115   0.0577456 0.000998669
          15   0.0581087   0.0577698 0.000932384
          16   0.0554561   0.0576252 0.000885253
          17    0.056116   0.0575364 0.000837619
          18   0.0535807   0.0573167 0.000819407
          19   0.0582186   0.0573641 0.000777654
          20   0.0543919   0.0572155 0.000752837
