#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1   -0.086086   -0.086086           0         0.5
           2   -0.226418   -0.156252   0.0496149         0.5
           3    -0.45616   -0.256221   0.0880718         0.5
           4   -0.490778   -0.314861   0.0833188         0.5
           5    0.126074   -0.226674    0.103269         0.5
           6    -0.10685   -0.206703   0.0879671         0.5
           7    0.454202   -0.112288    0.115438         0.5
           8    0.337106  -0.0561138    0.113859         0.5
           9    0.529898  0.00899867     0.11837         0.5
          10    -0.33937  -0.0258382    0.111542         0.5
          11    -0.34229  -0.0546065    0.105046         0.5
          12    0.453134  -0.0122948    0.104467         0.5
          13    0.111634 -0.00276185   0.0968648         0.5
          14    0.343552   0.0219749   0.0930509         0.5
          15   -0.643242  -0.0223729   0.0968406         0.5
          16    0.220948 -0.00716538   0.0919744         0.5
          17    0.221064  0.00625988   0.0875384         0.5
          18    0.095302   0.0112067   0.0828148         0.5
          19   -0.115888  0.00451747   0.0787259         0.5
          20   -0.427866  -0.0171017   0.0777013         0.5
