#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.925322    0.420082           0         0.5
           2    0.933204    0.403293   0.0118715         0.5
           3    0.936142    0.394754   0.0105472         0.5
           4    0.947448    0.380248   0.0148456         0.5
           5    0.929616    0.381134   0.0119029         0.5
           6    0.944362    0.377382   0.0104939         0.5
           7    0.949786    0.376096  0.00907323         0.5
           8    0.958581    0.365079   0.0130091         0.5
           9    0.945379    0.362963   0.0117345         0.5
          10    0.955626    0.356895   0.0120278         0.5
          11     0.94503    0.355641   0.0109996         0.5
          12     0.94503    0.354326   0.0101612         0.5
          13    0.949492    0.353174  0.00944464         0.5
          14    0.945824    0.351468  0.00892282         0.5
          15    0.952337    0.350347  0.00839807         0.5
          16     0.94895    0.349211  0.00794963         0.5
          17    0.955975    0.346325  0.00798869         0.5
          18    0.949334    0.347729  0.00766726         0.5
          19    0.941548    0.348493  0.00730161         0.5
          20    0.953752    0.346416  0.00722577         0.5
