#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1      66.132      66.132           0         0.5
           2     70.8327     68.4823     1.66194         0.5
           3        71.8     69.5882      1.4293         0.5
           4     77.0295     71.4486     1.93513         0.5
           5     68.7042     70.8997     1.62408         0.5
           6     75.5051     71.6672     1.52403         0.5
           7     79.3049     72.7583     1.65132         0.5
           8      84.266     74.1968      1.9744         0.5
           9     75.5046     74.3421     1.76036         0.5
          10     80.4819     74.9561     1.68801         0.5
          11     77.4836     75.1859     1.55011         0.5
          12     77.3497     75.3662     1.43138         0.5
          13     79.9501     75.7188     1.36402         0.5
          14     76.0538     75.7427      1.2668         0.5
          15     79.4386     75.9891     1.20607         0.5
          16     77.1594     76.0623      1.1329         0.5
          17     83.1262     76.4778     1.13992         0.5
          18      79.407     76.6405     1.08815         0.5
          19     73.4497     76.4726     1.04375         0.5
          20     79.7875     76.6383     1.00464         0.5
