#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.229522    0.200697           0           2
           2    0.227047    0.200547 0.000106013           2
           3    0.229287    0.199572  0.00079913           2
           4    0.229134    0.198029  0.00146462           2
           5     0.23012    0.197227  0.00137372           2
           6    0.229475    0.197584   0.0011901           2
           7    0.228884    0.197187  0.00108415           2
           8    0.229334     0.19754  0.00100434           2
           9    0.229308    0.197716 0.000908074           2
          10      0.2289    0.197846 0.000826523           2
          11    0.227992    0.197453 0.000839364           2
          12    0.231224    0.197443 0.000769478           2
          13    0.231508    0.197319 0.000720215           2
          14    0.227323    0.197086 0.000705584           2
          15    0.229016    0.197188 0.000665894           2
          16    0.230145    0.197209 0.000624598           2
          17    0.229537      0.1973 0.000594511           2
          18    0.229236    0.197472 0.000585897           2
          19     0.23009    0.197537 0.000558561           2
          20     0.22818     0.19732  0.00057118           2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.249443    0.218763           0         1.9
           2    0.246055    0.217025  0.00122932         1.9
           3    0.248989    0.215688  0.00136498         1.9
           4    0.248541    0.214015  0.00177409         1.9
           5    0.248262    0.213009  0.00168051         1.9
           6    0.247629     0.21331  0.00142719         1.9
           7    0.248293    0.213014  0.00125364         1.9
           8    0.248013    0.213342  0.00113912         1.9
           9    0.248107    0.213321  0.00101275         1.9
          10    0.246952    0.213487 0.000924932         1.9
          11    0.247128    0.213272 0.000865271         1.9
          12    0.250154    0.213259 0.000793265         1.9
          13     0.24886    0.213111  0.00074599         1.9
          14    0.246604    0.212931 0.000714088         1.9
          15    0.247815    0.212982 0.000668333         1.9
          16    0.249068    0.212979 0.000626572         1.9
          17    0.248339    0.213046 0.000593256         1.9
          18     0.24841    0.213106 0.000563373         1.9
          19    0.249115    0.213181 0.000538734         1.9
          20    0.246778     0.21297 0.000551778         1.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.270653    0.235681           0         1.8
           2    0.267225    0.233768  0.00135321         1.8
           3    0.270876    0.232326  0.00148316         1.8
           4    0.270358    0.230529  0.00191313         1.8
           5     0.27019    0.229507  0.00178252         1.8
           6    0.268885    0.229396   0.0014889         1.8
           7    0.269819    0.229391  0.00127621         1.8
           8    0.269606    0.229951  0.00123339         1.8
           9    0.268883    0.230307  0.00114658         1.8
          10    0.268352    0.230295  0.00103198         1.8
          11    0.268468    0.230193 0.000943129         1.8
          12    0.271139    0.230392 0.000885157         1.8
          13    0.270703    0.230393 0.000817069         1.8
          14    0.267194    0.230202 0.000780841         1.8
          15    0.268822    0.230278 0.000732565         1.8
          16    0.269688    0.230356 0.000690884         1.8
          17    0.269542    0.230296 0.000652868         1.8
          18    0.269525    0.230304 0.000616643         1.8
          19    0.269909    0.230419 0.000594908         1.8
          20    0.267459    0.230315 0.000574212         1.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.294447    0.252266           0         1.7
           2    0.292433    0.252123 0.000100762         1.7
           3    0.293846    0.251413 0.000583748         1.7
           4    0.294246    0.249915  0.00136937         1.7
           5    0.295195    0.249322  0.00121718         1.7
           6    0.292332    0.249098  0.00103465         1.7
           7    0.295181    0.249354 0.000917832         1.7
           8    0.293409    0.249913 0.000958301         1.7
           9     0.29302    0.250403 0.000969132         1.7
          10    0.292025    0.250213 0.000890668         1.7
          11    0.293473     0.25005 0.000824364         1.7
          12    0.294831    0.249897 0.000769752         1.7
          13    0.294475    0.249953 0.000712536         1.7
          14    0.290753    0.249895 0.000663975         1.7
          15    0.292876    0.249825 0.000623431         1.7
          16    0.295397    0.249955 0.000598005         1.7
          17    0.294126    0.249915 0.000564186         1.7
          18     0.29321    0.249877 0.000534149         1.7
          19    0.294823    0.249832 0.000507925         1.7
