#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.230119    0.201226           0           2
           2    0.227536    0.200972 0.000179658           2
           3    0.228885    0.200366 0.000508768           2
           4    0.229186    0.198879  0.00134333           2
           5    0.230362     0.19839  0.00116026           2
           6    0.228858    0.197861  0.00108061           2
           7     0.23092    0.197714 0.000936286           2
           8    0.231456    0.198116  0.00090158           2
           9     0.22987    0.198034 0.000805168           2
          10    0.227762    0.197825 0.000751162           2
          11    0.229782    0.197339 0.000825482           2
          12    0.229617    0.197333 0.000756714           2
          13    0.229322    0.197367 0.000699305           2
          14    0.230328    0.197307 0.000651972           2
          15    0.228511    0.197136 0.000630363           2
          16    0.229865    0.197231 0.000598033           2
          17    0.229939    0.197257 0.000563423           2
          18    0.230954    0.197144 0.000543397           2
          19    0.228763     0.19697  0.00054188           2
          20    0.229223    0.197027 0.000517804           2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.249066    0.215256           0         1.9
           2    0.247171    0.214878 0.000267473         1.9
           3    0.247883    0.214728 0.000216159         1.9
           4    0.249123    0.213048  0.00146391         1.9
           5    0.249348    0.213209  0.00117995         1.9
           6    0.245749    0.212228  0.00132986         1.9
           7    0.250956    0.212675  0.00121266         1.9
           8    0.248495    0.212764  0.00106435         1.9
           9    0.247683    0.212678 0.000949614         1.9
          10    0.246554    0.212878 0.000875638         1.9
          11    0.248304    0.212777 0.000801887         1.9
          12    0.249412    0.212985 0.000761612         1.9
          13    0.248428    0.213262 0.000751652         1.9
          14    0.249222    0.213237 0.000698361         1.9
          15    0.246984    0.213081 0.000669128         1.9
          16    0.248708      0.2129 0.000651185         1.9
          17    0.247889    0.212876 0.000613333         1.9
          18    0.247638    0.212552  0.00065954         1.9
          19    0.249129    0.212658 0.000633338         1.9
          20    0.248722    0.212849  0.00062986         1.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.270072    0.231142           0         1.8
           2    0.266951    0.229353  0.00126469         1.8
           3    0.268926    0.230202  0.00109112         1.8
           4    0.271677    0.229555 0.000991584         1.8
           5    0.269426    0.229537  0.00079343         1.8
           6    0.267514    0.229239 0.000715047         1.8
           7    0.270967    0.229247 0.000612939         1.8
           8    0.269481    0.229364  0.00054755         1.8
           9    0.269715    0.229123 0.000537401         1.8
          10    0.268758    0.229166  0.00048543         1.8
          11    0.269278    0.229128 0.000442839         1.8
          12    0.270986    0.229556 0.000576798         1.8
          13    0.268733    0.229679 0.000545541         1.8
          14    0.269568    0.229683 0.000506585         1.8
          15    0.268532    0.229396 0.000548088         1.8
          16    0.271304     0.22941 0.000514016         1.8
          17    0.268632    0.229304 0.000494524         1.8
          18    0.269668    0.229099 0.000507954         1.8
          19    0.271444     0.22898 0.000494871         1.8
          20    0.268756    0.229005 0.000470727         1.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.294758     0.24915           0         1.7
           2     0.29142    0.248514 0.000449262         1.7
           3    0.292934    0.247866    0.000608         1.7
           4    0.295292    0.247101 0.000804342         1.7
           5    0.293756    0.247192  0.00064854         1.7
           6    0.291597      0.2475 0.000609275         1.7
           7    0.294636    0.246866 0.000785296         1.7
           8    0.293564    0.247552 0.000939807         1.7
           9    0.290388    0.247278 0.000874332         1.7
          10    0.292412    0.247414 0.000797354         1.7
          11    0.292034    0.247434 0.000725122         1.7
          12    0.293332    0.248106 0.000924753         1.7
          13    0.291506    0.248314 0.000876873         1.7
          14    0.294574    0.248633 0.000870179         1.7
          15    0.292744    0.248578 0.000813891         1.7
          16    0.294676    0.248602 0.000763386         1.7
          17    0.294213    0.248386 0.000748618         1.7
          18    0.294898    0.248212 0.000726901         1.7
          19    0.295841    0.248301 0.000694135         1.7
          20    0.294808    0.248365 0.000662337         1.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.322601    0.272106           0         1.6
           2    0.318157    0.271443 0.000468417         1.6
           3    0.321264    0.272151 0.000656967         1.6
           4    0.323044    0.271288 0.000895818         1.6
           5    0.321927     0.27045  0.00103659         1.6
           6    0.318644    0.270508 0.000865429         1.6
           7    0.324527    0.270459 0.000743157         1.6
           8    0.320056    0.270407 0.000652072         1.6
           9    0.319181    0.270169 0.000621602         1.6
          10    0.321339    0.270031 0.000574493         1.6
          11    0.321629    0.270309 0.000585329         1.6
          12    0.323474    0.270765 0.000691694         1.6
          13    0.321304    0.270713 0.000640387         1.6
          14    0.323131    0.271062 0.000683047         1.6
          15      0.3193    0.270984 0.000641905         1.6
          16     0.32062     0.27115 0.000622729         1.6
          17    0.320419    0.270952  0.00061667         1.6
          18    0.323029     0.27067  0.00064368         1.6
          19    0.323564    0.270579 0.000616242         1.6
          20    0.319249    0.270762  0.00061217         1.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1     0.35441    0.292192           0         1.5
           2    0.351251    0.292881 0.000487159         1.5
           3    0.352374    0.291705   0.0010135         1.5
           4    0.355512     0.29171 0.000760132         1.5
           5    0.352791    0.291249  0.00073453         1.5
           6    0.352722    0.291152 0.000618455         1.5
           7    0.354471    0.291716 0.000744146         1.5
           8    0.352518    0.292792  0.00119821         1.5
           9    0.351063    0.292932  0.00107325         1.5
          10    0.354323    0.293578  0.00114406         1.5
          11    0.352712    0.293453  0.00104687         1.5
          12    0.353278    0.293353 0.000964431         1.5
          13    0.351261    0.294262   0.0012475         1.5
          14    0.353427     0.29408  0.00117162         1.5
          15    0.350963    0.293633  0.00117565         1.5
          16    0.352532    0.293773  0.00111045         1.5
          17    0.350712     0.29355  0.00106732         1.5
          18    0.354657    0.293496  0.00100935         1.5
          19    0.352804    0.293263 0.000982755         1.5
          20    0.350178      0.2936 0.000989464         1.5
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.389255    0.313107           0         1.4
           2    0.385895    0.315066  0.00138544         1.4
           3    0.387509    0.314585  0.00100351         1.4
           4    0.391988    0.314164 0.000836414         1.4
           5    0.386381    0.313746 0.000766559         1.4
           6    0.388163    0.314464 0.000915371         1.4
           7    0.388169    0.315588  0.00130299         1.4
           8    0.386728    0.315755  0.00115083         1.4
           9    0.386436    0.316017  0.00105233         1.4
          10    0.388186    0.315928 0.000950881         1.4
          11    0.388323    0.316378 0.000965372         1.4
          12    0.389178    0.316411 0.000885473         1.4
          13    0.387665    0.316829 0.000910578         1.4
          14    0.387432    0.316522 0.000895581         1.4
          15    0.385958    0.316323 0.000857844         1.4
          16    0.387176    0.316279 0.000805313         1.4
          17     0.38761    0.316546 0.000800866         1.4
          18    0.391716    0.316224 0.000818433         1.4
          19       0.389    0.316094 0.000785655         1.4
          20    0.385784    0.316286 0.000769314         1.4
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.430833    0.346941           0         1.3
           2    0.427194    0.344181  0.00195144         1.3
           3    0.429286    0.343574  0.00139228         1.3
           4    0.430379    0.343625  0.00104516         1.3
           5    0.429828     0.34438  0.00107466         1.3
           6    0.429154    0.343521  0.00119063         1.3
           7    0.432641    0.343937  0.00109102         1.3
           8    0.428404    0.343899 0.000955302         1.3
           9    0.428228    0.344259 0.000914296         1.3
          10    0.429569    0.344693 0.000920405         1.3
          11    0.430883    0.344504 0.000855937         1.3
          12    0.429649    0.344442 0.000786841         1.3
          13    0.430134    0.344695 0.000765766         1.3
          14    0.427885    0.344266 0.000822656         1.3
          15     0.42938    0.344365 0.000773775         1.3
          16    0.427217    0.344052 0.000786194         1.3
          17    0.429229    0.343664 0.000830052         1.3
          18    0.432881    0.343453 0.000810297         1.3
          19    0.428619    0.343516 0.000770081         1.3
          20    0.427389    0.343846 0.000799131         1.3
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1     0.47953    0.371328           0         1.2
           2      0.4743    0.371473  0.00010246         1.2
           3    0.475851    0.371171  0.00025588         1.2
           4    0.477162    0.367796  0.00292868         1.2
           5    0.477027    0.367035  0.00243986         1.2
           6    0.474657    0.365731  0.00235618         1.2
           7     0.47735    0.365787  0.00202026         1.2
           8    0.477514    0.365639  0.00177315         1.2
           9     0.47398    0.366495  0.00177072         1.2
          10    0.479256    0.366522  0.00159385         1.2
          11     0.47774    0.367336  0.00164406         1.2
          12     0.47793    0.367171  0.00151533         1.2
          13    0.479132    0.367861  0.00154786         1.2
          14    0.473088    0.367054  0.00163418         1.2
          15    0.479391    0.367651  0.00163075         1.2
          16    0.477958    0.368067  0.00158099         1.2
          17    0.476655    0.367816  0.00150789         1.2
          18    0.477146     0.36778  0.00142454         1.2
          19    0.476964    0.368125  0.00139068         1.2
          20    0.476084    0.368283  0.00133011         1.2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.528919    0.399907           0         1.1
           2    0.531421    0.397229  0.00189366         1.1
           3    0.528723    0.397797    0.001345         1.1
           4     0.52991    0.396582  0.00145737         1.1
           5    0.531302    0.395808  0.00135619         1.1
           6    0.526252    0.397111  0.00164115         1.1
           7    0.530552    0.396696  0.00145827         1.1
           8     0.52629    0.396365  0.00131301         1.1
           9    0.527366    0.396662  0.00120025         1.1
          10    0.528508    0.395979  0.00125948         1.1
          11    0.529772    0.396072  0.00114841         1.1
          12    0.529523    0.396368  0.00108998         1.1
          13    0.532739    0.396499  0.00101406         1.1
          14    0.527048    0.396353 0.000952067         1.1
          15    0.530707    0.396207 0.000899738         1.1
          16    0.531143    0.396653 0.000947546         1.1
          17    0.526494     0.39687 0.000916369         1.1
          18    0.527405    0.397518  0.00107008         1.1
          19    0.531733    0.397813  0.00105375         1.1
          20     0.52903    0.398206  0.00107184         1.1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.588287    0.419951           0           1
           2    0.587646    0.420819 0.000614094           1
           3    0.588941    0.419751 0.000963394           1
           4    0.591599    0.420862  0.00120282           1
