#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.34959     1.34959           0           2
           2     1.34464     1.34712  0.00175009           2
           3     1.34706      1.3471  0.00116685           2
           4     1.33406     1.34384  0.00295536           2
           5      1.3275     1.34057  0.00375983           2
           6     1.34233     1.34086  0.00314461           2
           7     1.34214     1.34105  0.00270068           2
           8     1.34055     1.34098   0.0023638           2
           9     1.37422     1.34468  0.00406655           2
          10     1.34552     1.34476  0.00366077           2
          11     1.37213     1.34725  0.00408703           2
          12     1.37717     1.34974  0.00444245           2
          13     1.31798      1.3473  0.00472525           2
          14     1.34745     1.34731  0.00438774           2
          15     1.33955     1.34679   0.0041256           2
          16     1.36405     1.34787  0.00400628           2
          17     1.35895     1.34852  0.00382325           2
          18     1.38662     1.35064  0.00415547           2
          19     1.32972     1.34954  0.00408002           2
          20     1.34769     1.34945  0.00387707           2
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.49538     1.49538           0         1.9
           2     1.50513     1.50025  0.00344547         1.9
           3     1.50259     1.50103  0.00238302         1.9
           4     1.47941     1.49563  0.00501012         1.9
           5     1.44871     1.48624  0.00930035         1.9
           6     1.48263     1.48564  0.00776975         1.9
           7     1.51708     1.49013  0.00785111         1.9
           8     1.49587     1.49085  0.00690238         1.9
           9     1.51402     1.49342   0.0065981         1.9
          10     1.49653     1.49373  0.00594558         1.9
          11      1.4794     1.49243  0.00554599         1.9
          12     1.51177     1.49404  0.00531273         1.9
          13     1.45752     1.49123  0.00559788         1.9
          14     1.50721     1.49237   0.0053131         1.9
          15     1.49406     1.49249  0.00496008         1.9
          16     1.49947     1.49292  0.00466925         1.9
          17      1.4802     1.49217  0.00445416         1.9
          18     1.54474     1.49509  0.00507462         1.9
          19     1.48542     1.49459    0.004833         1.9
          20     1.50319     1.49502  0.00461046         1.9
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.68402     1.68402           0         1.8
           2     1.68072     1.68237  0.00116908         1.8
           3     1.68853     1.68442  0.00184994         1.8
           4     1.67144     1.68118  0.00313568         1.8
           5     1.65139     1.67522  0.00588919         1.8
           6     1.65964     1.67262  0.00545025         1.8
           7     1.70087     1.67666  0.00598208         1.8
