#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.462024   -0.462024           0           2
           2   -0.459364   -0.460694 0.000940452           2
           3   -0.462036   -0.461141 0.000725599           2
           4   -0.462236   -0.461415 0.000593568           2
           5   -0.463248   -0.461782 0.000577064           2
           6   -0.462088   -0.461833 0.000483141           2
           7   -0.461844   -0.461834 0.000414124           2
           8    -0.46188    -0.46184 0.000362398           2
           9   -0.461928    -0.46185 0.000322263           2
          10   -0.461496   -0.461814 0.000291972           2
          11   -0.460988   -0.461739 0.000274925           2
          12   -0.464152    -0.46194 0.000317124           2
          13   -0.464588   -0.462144 0.000352108           2
          14   -0.460216   -0.462006 0.000352863           2
          15   -0.461656   -0.461983  0.00033011           2
          16   -0.462972   -0.462045 0.000315213           2
          17   -0.462208   -0.462054 0.000296817           2
          18    -0.46174   -0.462037 0.000280841           2
          19   -0.462812   -0.462078 0.000269006           2
          20    -0.46122   -0.462035 0.000258952           2
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.483372   -0.483372           0         1.9
           2   -0.480116   -0.481744  0.00115117         1.9
           3   -0.483332   -0.482273 0.000880778         1.9
           4   -0.483168   -0.482497 0.000688397         1.9
           5    -0.48288   -0.482574 0.000554963         1.9
           6   -0.481788   -0.482443 0.000477665         1.9
           7   -0.482744   -0.482486 0.000411363         1.9
           8   -0.482124   -0.482441 0.000362419         1.9
           9   -0.482408   -0.482437 0.000322168         1.9
          10   -0.481072     -0.4823  0.00031755         1.9
          11   -0.481544   -0.482232 0.000296033         1.9
          12   -0.484528   -0.482423 0.000327424         1.9
          13   -0.483324   -0.482492 0.000309486         1.9
          14    -0.48104   -0.482389 0.000304269         1.9
          15   -0.482064   -0.482367 0.000284753         1.9
          16    -0.48342   -0.482433 0.000274457         1.9
          17   -0.482576   -0.482441 0.000258442         1.9
          18   -0.482648   -0.482453 0.000244339         1.9
          19   -0.483348     -0.4825  0.00023598         1.9
          20   -0.481344   -0.482442 0.000231148         1.9
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.505352   -0.505352           0         1.8
           2   -0.502196   -0.503774  0.00111581         1.8
           3   -0.505972   -0.504507 0.000954578         1.8
           4   -0.505736   -0.504814 0.000763807         1.8
           5   -0.505552   -0.504962 0.000625144         1.8
           6    -0.50404   -0.504808 0.000539494         1.8
           7   -0.504932   -0.504826 0.000462714         1.8
           8   -0.504432   -0.504777 0.000407483         1.8
           9    -0.50376   -0.504664 0.000377536         1.8
          10   -0.503424    -0.50454 0.000359556         1.8
          11   -0.503604   -0.504455 0.000336779         1.8
          12   -0.506032   -0.504586 0.000333383         1.8
          13    -0.50574   -0.504675 0.000319338         1.8
          14   -0.502432   -0.504515 0.000334304         1.8
          15   -0.503816   -0.504468 0.000315244         1.8
          16   -0.504664    -0.50448  0.00029578         1.8
          17    -0.50466   -0.504491  0.00027857         1.8
          18   -0.504572   -0.504495  0.00026313         1.8
          19    -0.50482   -0.504512 0.000249835         1.8
          20   -0.502656    -0.50442 0.000254002         1.8
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.529024   -0.529024           0         1.7
           2   -0.527132   -0.528078 0.000668923         1.7
           3    -0.52858   -0.528245 0.000466409         1.7
           4   -0.529208   -0.528486 0.000407192         1.7
           5    -0.53002   -0.528793  0.00042593         1.7
           6   -0.527256   -0.528537 0.000425034         1.7
           7   -0.529792   -0.528716 0.000400364         1.7
           8   -0.527956   -0.528621 0.000361414         1.7
           9    -0.52756   -0.528503  0.00033994         1.7
          10   -0.526936   -0.528346 0.000340155         1.7
          11   -0.528312   -0.528343 0.000309247         1.7
          12   -0.529608   -0.528449   0.0003009         1.7
          13    -0.52914   -0.528502 0.000282414         1.7
          14   -0.525692   -0.528301 0.000325845         1.7
          15   -0.527724   -0.528263 0.000306386         1.7
          16    -0.52994   -0.528368 0.000304644         1.7
          17   -0.528884   -0.528398 0.000288235         1.7
          18    -0.52802   -0.528377 0.000272985         1.7
          19   -0.529556   -0.528439 0.000265578         1.7
          20   -0.525692   -0.528302 0.000285615         1.7
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1    -0.55524    -0.55524           0         1.6
           2    -0.55278    -0.55401 0.000869741         1.6
           3    -0.55506    -0.55436 0.000646426         1.6
           4     -0.5561   -0.554795 0.000613978         1.6
           5   -0.556556   -0.555147  0.00058352         1.6
           6   -0.552892   -0.554771 0.000595135         1.6
           7     -0.5558   -0.554918 0.000527947         1.6
           8   -0.554328   -0.554845 0.000467081         1.6
           9   -0.553568   -0.554703 0.000436186         1.6
          10   -0.553696   -0.554602 0.000404017         1.6
          11   -0.554324   -0.554577 0.000368078         1.6
          12   -0.555968   -0.554693 0.000355195         1.6
          13   -0.555688   -0.554769 0.000336023         1.6
          14   -0.551868   -0.554562 0.000370452         1.6
          15    -0.55364   -0.554501 0.000350817         1.6
          16   -0.556144   -0.554603   0.0003436         1.6
          17    -0.55426   -0.554583 0.000323981         1.6
          18   -0.555368   -0.554627 0.000308903         1.6
          19   -0.554848   -0.554638 0.000292864         1.6
          20   -0.551812   -0.554497 0.000310449         1.6
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.583752   -0.583752           0         1.5
           2   -0.580992   -0.582372 0.000975807         1.5
           3    -0.58404   -0.582928 0.000793278         1.5
           4   -0.583128   -0.582978 0.000596532         1.5
           5   -0.583968   -0.583176 0.000509026         1.5
           6    -0.58226   -0.583023 0.000446496         1.5
           7   -0.584156   -0.583185 0.000410986         1.5
           8   -0.582484   -0.583098 0.000368839         1.5
           9   -0.581832   -0.582957 0.000353645         1.5
          10   -0.581748   -0.582836 0.000338313         1.5
          11   -0.583784   -0.582922 0.000318345         1.5
          12   -0.584564   -0.583059 0.000319868         1.5
          13   -0.582644   -0.583027 0.000296852         1.5
          14    -0.57878   -0.582724 0.000401793         1.5
          15   -0.580596   -0.582582 0.000399261         1.5
          16   -0.584256   -0.582687 0.000387775         1.5
          17   -0.582216   -0.582659 0.000365951         1.5
          18   -0.583384   -0.582699 0.000347831         1.5
          19   -0.582036   -0.582664 0.000331271         1.5
          20    -0.57962   -0.582512 0.000347923         1.5
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1      -0.615      -0.615           0         1.4
           2   -0.613144   -0.614072 0.000656195         1.4
           3    -0.61394   -0.614028 0.000438936         1.4
           4     -0.6149   -0.614246 0.000379496         1.4
           5   -0.615628   -0.614522 0.000391521         1.4
           6   -0.614596   -0.614535 0.000326459         1.4
           7   -0.614812   -0.614574 0.000282216         1.4
           8   -0.612964   -0.614373 0.000310532         1.4
           9   -0.612104   -0.614121 0.000364266         1.4
          10    -0.61298   -0.614007 0.000345244         1.4
          11   -0.615572   -0.614149 0.000341925         1.4
          12   -0.615628   -0.614272 0.000334906         1.4
          13   -0.613664   -0.614226 0.000312397         1.4
          14   -0.609616   -0.613896 0.000429897         1.4
          15   -0.611952   -0.613767 0.000420324         1.4
          16   -0.615256    -0.61386  0.00040423         1.4
          17   -0.613104   -0.613815 0.000382888         1.4
          18   -0.613968   -0.613824 0.000361711         1.4
          19   -0.614172   -0.613842 0.000343137         1.4
          20    -0.60956   -0.613628 0.000387056         1.4
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.648224   -0.648224           0         1.3
           2   -0.646088   -0.647156  0.00075519         1.3
           3    -0.64858   -0.647631 0.000635356         1.3
           4   -0.648168   -0.647765 0.000490513         1.3
           5   -0.648596   -0.647931 0.000419623         1.3
           6    -0.64572   -0.647563 0.000485243         1.3
           7    -0.64914   -0.647788  0.00046531         1.3
           8   -0.646632   -0.647644 0.000428997         1.3
           9   -0.643644   -0.647199 0.000566526         1.3
          10   -0.644708    -0.64695  0.00056198         1.3
          11    -0.64644   -0.646904   0.0005128         1.3
          12   -0.648424    -0.64703 0.000485466         1.3
          13    -0.64774   -0.647085 0.000451181         1.3
