#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.998406   -0.998406           0         0.5
           2    -1.00275    -1.00058  0.00153517         0.5
           3    -1.00785      -1.003  0.00222834         0.5
           4    -1.00596    -1.00374  0.00178984         0.5
           5   -0.998444    -1.00268  0.00171702         0.5
           6    -1.00174    -1.00252  0.00143804         0.5
           7    -1.00724     -1.0032  0.00138129         0.5
           8   -0.997606     -1.0025  0.00137416         0.5
           9    -1.00441    -1.00271  0.00123785         0.5
          10    -1.00366    -1.00281  0.00111772         0.5
          11    -1.00334    -1.00286  0.00101717         0.5
          12    -1.00563    -1.00309   0.0009583         0.5
          13    -1.00581     -1.0033 0.000907216         0.5
          14    -1.00598    -1.00349 0.000862419         0.5
          15   -0.997024    -1.00306 0.000906198         0.5
          16    -1.00502    -1.00318 0.000857833         0.5
          17    -1.00075    -1.00304 0.000819215         0.5
          18   -0.992343    -1.00244 0.000965379         0.5
          19    -1.00155     -1.0024 0.000915721         0.5
          20    -1.00287    -1.00242 0.000870242         0.5
