#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.030996    0.030996           0           2
           2     0.02945    0.030223 0.000546594           2
           3    0.029576   0.0300073 0.000404713           2
           4    0.026286    0.029077 0.000860972           2
           5    0.022736   0.0278088  0.00132706           2
           6    0.018234    0.026213  0.00182897           2
           7    0.025588   0.0261237  0.00156986           2
           8    0.033796   0.0270828  0.00164062           2
           9     0.03387   0.0278369  0.00162243           2
          10    0.031026   0.0281558   0.0014912           2
          11    0.021388   0.0275405  0.00147711           2
          12    0.021506   0.0270377  0.00143708           2
          13    0.034032   0.0275757  0.00142369           2
          14    0.031996   0.0278914  0.00135656           2
          15    0.021248   0.0274485  0.00133646           2
          16    0.036402   0.0280081  0.00136507           2
          17      0.0273   0.0279665  0.00128541           2
          18    0.027198   0.0279238  0.00121471           2
          19    0.024628   0.0277503  0.00116309           2
          20    0.023588   0.0275422   0.0011234           2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.034818    0.034818           0         1.9
           2     0.03117    0.032994  0.00128976         1.9
           3    0.034668    0.033552  0.00097309         1.9
           4    0.028442   0.0322745  0.00132538         1.9
           5    0.026708   0.0311612  0.00145458         1.9
           6    0.020702    0.029418   0.0020004         1.9
           7    0.029644   0.0294503  0.00171489         1.9
           8    0.037792    0.030493  0.00178967         1.9
           9    0.037544   0.0312764  0.00175394         1.9
          10    0.034984   0.0316472  0.00161725         1.9
          11      0.0247   0.0310156  0.00158877         1.9
          12    0.026622   0.0306495  0.00149797         1.9
          13    0.037258   0.0311578  0.00146646         1.9
          14    0.031964   0.0312154  0.00136284         1.9
          15     0.02467   0.0307791  0.00134003         1.9
          16    0.039218   0.0313065  0.00135611         1.9
          17     0.03058   0.0312638  0.00127701         1.9
          18    0.029442   0.0311626  0.00121007         1.9
          19    0.030006   0.0311017  0.00114791         1.9
          20     0.02647   0.0308701  0.00111363         1.9
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.038746    0.038746           0         1.8
           2      0.0342    0.036473  0.00160725         1.8
           3    0.037906   0.0369507  0.00114028         1.8
           4    0.034228     0.03627  0.00103868         1.8
           5    0.034806   0.0359772 0.000871238         1.8
           6      0.0251   0.0341643  0.00180717         1.8
           7    0.032656   0.0339489   0.0015618         1.8
           8    0.039366    0.034626  0.00150623         1.8
           9    0.041138   0.0353496  0.00150264         1.8
          10    0.037174    0.035532  0.00136341         1.8
          11    0.029236   0.0349596  0.00135428         1.8
          12    0.031236   0.0346493  0.00127648         1.8
          13    0.040302   0.0350842  0.00125016         1.8
          14     0.03642   0.0351796   0.0011645         1.8
          15    0.029132   0.0347764  0.00115455         1.8
          16    0.042702   0.0352718  0.00118389         1.8
          17    0.035028   0.0352574  0.00111434         1.8
          18    0.032354   0.0350961  0.00106404         1.8
          19     0.03322   0.0349974  0.00101261         1.8
          20    0.031228   0.0348089 0.000979362         1.8
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.045352    0.045352           0         1.7
           2     0.04146    0.043406  0.00137603         1.7
           3     0.04422   0.0436773 0.000943726         1.7
           4     0.03763   0.0421655  0.00148836         1.7
           5    0.039052   0.0415428  0.00131451         1.7
           6    0.029774   0.0395813  0.00209907         1.7
           7      0.0329   0.0386269  0.00200449         1.7
           8    0.043016   0.0391755  0.00182747         1.7
           9    0.045562   0.0398851   0.0017568         1.7
          10     0.04068   0.0399646  0.00158292         1.7
          11    0.034962   0.0395098  0.00150293         1.7
          12    0.035714   0.0391935  0.00141058         1.7
          13    0.046028   0.0397192  0.00139661         1.7
          14     0.04279   0.0399386  0.00131396         1.7
          15    0.032864   0.0394669  0.00130828         1.7
          16    0.047946   0.0399969  0.00132952         1.7
          17    0.038598   0.0399146  0.00125385         1.7
          18    0.040314   0.0399368  0.00118439         1.7
          19    0.037446   0.0398057  0.00112929         1.7
          20    0.034282   0.0395295  0.00110608         1.7
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.047706    0.047706           0         1.6
           2    0.045962    0.046834 0.000616597         1.6
           3      0.0492   0.0476227 0.000763962         1.6
           4    0.041506   0.0460935  0.00144293         1.6
           5    0.045366    0.045948  0.00116166         1.6
           6    0.036788   0.0444213  0.00169687         1.6
           7    0.040474   0.0438574  0.00154532         1.6
           8    0.053826   0.0451035   0.0017852         1.6
           9     0.04982   0.0456276  0.00166199         1.6
          10    0.040978   0.0451626  0.00155947         1.6
          11    0.033676   0.0441184  0.00173239         1.6
          12    0.039844   0.0437622  0.00162423         1.6
          13     0.04889   0.0441566  0.00154644         1.6
          14     0.05241   0.0447461  0.00154427         1.6
          15     0.03419   0.0440424  0.00159362         1.6
          16    0.053382   0.0446261  0.00159735         1.6
          17    0.045574   0.0446819  0.00150436         1.6
          18    0.046888   0.0448044  0.00142577         1.6
          19    0.044646   0.0447961  0.00135076         1.6
          20    0.035922   0.0443524  0.00135413         1.6
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.052116    0.052116           0         1.5
           2     0.05817    0.055143  0.00214041         1.5
           3     0.05743   0.0559053  0.00155679         1.5
           4     0.04558    0.053324  0.00252205         1.5
           5    0.046742   0.0520076  0.00233606         1.5
           6    0.046556    0.051099  0.00211605         1.5
           7    0.047758   0.0506217  0.00186681         1.5
           8    0.060986   0.0519173  0.00203391         1.5
           9    0.054764   0.0522336  0.00183235         1.5
          10    0.043668    0.051377  0.00183845         1.5
          11     0.04367   0.0506764  0.00179988         1.5
          12    0.051294   0.0507278  0.00165063         1.5
          13    0.056228   0.0511509  0.00157695         1.5
          14    0.058676   0.0516884  0.00155321         1.5
          15    0.045298   0.0512624  0.00150696         1.5
          16    0.057456   0.0516495  0.00146165         1.5
          17    0.049656   0.0515322  0.00138037         1.5
          18    0.058492   0.0519189  0.00135675         1.5
          19    0.053114   0.0519818   0.0012868         1.5
          20     0.04551   0.0516582  0.00126249         1.5
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.063834    0.063834           0         1.4
           2    0.066134    0.064984 0.000813173         1.4
           3    0.063806   0.0645913 0.000629826         1.4
           4    0.051632   0.0613515  0.00284526         1.4
           5    0.058694     0.06082  0.00232532         1.4
           6    0.051252   0.0592253  0.00242365         1.4
           7     0.06344   0.0598274   0.0021509         1.4
           8    0.071082   0.0612343  0.00229648         1.4
           9      0.0655   0.0617082  0.00208966         1.4
          10     0.05328   0.0608654   0.0020436         1.4
          11    0.052138    0.060072  0.00200593         1.4
          12     0.06036    0.060096  0.00183891         1.4
          13    0.066016   0.0605514  0.00175294         1.4
          14    0.076928   0.0617211  0.00197992         1.4
          15    0.052458   0.0611036  0.00194185         1.4
          16    0.067304   0.0614911  0.00185875         1.4
          17     0.05471   0.0610922   0.0017917         1.4
          18    0.060312   0.0610489  0.00169268         1.4
          19    0.065582   0.0612875  0.00162032         1.4
          20    0.056656   0.0610559  0.00155577         1.4
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.08448     0.08448           0         1.3
           2    0.081782    0.083131 0.000953887         1.3
           3    0.076984    0.081082  0.00178979         1.3
           4    0.071804   0.0787625  0.00241598         1.3
           5    0.073692   0.0777484  0.00213503         1.3
           6    0.066802    0.075924  0.00243705         1.3
           7    0.075372   0.0758451  0.00209018         1.3
           8    0.083442   0.0767947  0.00203321         1.3
           9    0.071306   0.0761849  0.00189655         1.3
          10    0.067156    0.075282  0.00190976         1.3
          11    0.062678   0.0741362  0.00205128         1.3
          12    0.071458    0.073913  0.00189244         1.3
          13    0.083034   0.0746146  0.00187242         1.3
          14    0.088938   0.0756377  0.00199874         1.3
          15    0.060898   0.0746551  0.00209315         1.3
          16    0.076698   0.0747827  0.00196622         1.3
          17    0.062734    0.074074  0.00197417         1.3
          18    0.065546   0.0736002   0.0019205         1.3
          19    0.070734   0.0734494  0.00182534         1.3
          20    0.075762    0.073565  0.00173773         1.3
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.10894     0.10894           0         1.2
           2    0.104578    0.106759   0.0015422         1.2
           3    0.098616    0.104045  0.00244311         1.2
           4    0.073482    0.096404  0.00686602         1.2
           5    0.078602   0.0928436  0.00634919         1.2
           6    0.080212   0.0907383  0.00562921         1.2
           7    0.084614   0.0898634  0.00489256         1.2
           8    0.113736   0.0928475  0.00511062         1.2
           9    0.087284   0.0922293  0.00458001         1.2
          10    0.088038   0.0918102  0.00414114         1.2
          11    0.084908   0.0911827  0.00381192         1.2
          12    0.098172   0.0917652  0.00353847         1.2
          13    0.093436   0.0918937  0.00326862         1.2
          14    0.105116   0.0928381  0.00316865         1.2
          15    0.075922   0.0917104  0.00315171         1.2
          16    0.092888    0.091784  0.00295559         1.2
          17    0.089188   0.0916313  0.00278567         1.2
          18     0.07501   0.0907079  0.00277975         1.2
          19    0.088462   0.0905897  0.00263596         1.2
          20    0.084942   0.0903073  0.00251924         1.2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.120144    0.120144           0         1.1
           2    0.120938    0.120541 0.000280721         1.1
           3    0.136464    0.125849  0.00433773         1.1
           4    0.080594    0.114535   0.0103239         1.1
           5    0.093872    0.110402  0.00904853         1.1
           6    0.108422    0.110072  0.00754646         1.1
           7     0.10885    0.109898  0.00647042         1.1
           8    0.142874     0.11402   0.0068499         1.1
           9    0.107588    0.113305  0.00612597         1.1
          10    0.110924    0.113067    0.005518         1.1
          11    0.100546    0.111929  0.00513242         1.1
          12     0.12543    0.113054  0.00482646         1.1
          13     0.11889    0.113503  0.00447603         1.1
          14    0.125774    0.114379  0.00424127         1.1
