#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.028262    0.028262           0           2
           2    0.027432    0.027847 0.000293449           2
           3    0.018704   0.0247993  0.00249609           2
           4    0.029972   0.0260925  0.00218148           2
           5    0.033628   0.0275996  0.00220516           2
           6    0.034276   0.0287123  0.00209969           2
           7    0.031898   0.0291674   0.0018484           2
           8    0.025494   0.0287083  0.00167341           2
           9    0.031916   0.0290647  0.00152496           2
          10     0.02345   0.0285032   0.0014722           2
          11     0.02333   0.0280329  0.00141149           2
          12    0.025136   0.0277915  0.00131434           2
          13    0.027072   0.0277362  0.00121441           2
          14    0.029702   0.0278766  0.00113575           2
          15    0.025792   0.0277376   0.0010685           2
          16    0.027902   0.0277479  0.00100177           2
          17    0.032346   0.0280184 0.000978677           2
          18    0.024326   0.0278132 0.000945559           2
          19    0.034068   0.0281424 0.000951374           2
          20    0.026288   0.0280497 0.000908312           2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.03077     0.03077           0         1.9
           2    0.034512    0.032641    0.001323         1.9
           3    0.023406   0.0295627  0.00266371         1.9
           4    0.028654   0.0293355  0.00200744         1.9
           5    0.037284   0.0309252  0.00214495         1.9
           6    0.031934   0.0310933  0.00179404         1.9
           7     0.03208   0.0312343  0.00154327         1.9
           8     0.03096      0.0312  0.00135074         1.9
           9    0.026306   0.0306562  0.00130554         1.9
          10    0.018952   0.0294858  0.00161663         1.9
          11     0.02696   0.0292562  0.00148588         1.9
          12     0.02756   0.0291148  0.00136876         1.9
          13    0.021354   0.0285178  0.00138757         1.9
          14    0.031432    0.028726  0.00130397         1.9
          15     0.03119   0.0288903  0.00122735         1.9
          16    0.034266   0.0292263  0.00119574         1.9
          17    0.030706   0.0293133  0.00112857         1.9
          18    0.026688   0.0291674  0.00107525         1.9
          19    0.035532   0.0295024  0.00106957         1.9
          20    0.025858   0.0293202  0.00103149         1.9
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.044784    0.044784           0         1.8
           2    0.032292    0.038538  0.00441659         1.8
           3     0.03764   0.0382387  0.00295452         1.8
           4    0.037316    0.038008  0.00222488         1.8
           5     0.03541   0.0374884  0.00183957         1.8
           6     0.03597   0.0372353  0.00155029         1.8
           7     0.04226   0.0379531  0.00148573         1.8
           8    0.041948   0.0384525  0.00138139         1.8
           9    0.029718    0.037482  0.00153132         1.8
          10    0.026328   0.0363666  0.00173756         1.8
          11    0.031522   0.0359262  0.00163446         1.8
          12     0.02335   0.0348782  0.00180322         1.8
          13    0.033684   0.0347863  0.00166685         1.8
          14    0.039094    0.035094  0.00157593         1.8
          15     0.03648   0.0351864  0.00147357         1.8
          16     0.03809   0.0353679   0.0013926         1.8
          17     0.03371   0.0352704   0.0013141         1.8
          18    0.031094   0.0350383  0.00126141         1.8
          19    0.037728   0.0351799  0.00120294         1.8
          20     0.03439   0.0351404  0.00114344         1.8
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.039802    0.039802           0         1.7
           2    0.035556    0.037679  0.00150119         1.7
           3     0.04323   0.0395293   0.0018122         1.7
           4    0.043638   0.0405565  0.00162438         1.7
           5    0.038546   0.0401544  0.00134835         1.7
           6    0.042548   0.0405533  0.00118117         1.7
           7    0.038542    0.040266  0.00104679         1.7
           8    0.043502   0.0406705 0.000991021         1.7
           9    0.040604   0.0406631 0.000880936         1.7
          10    0.030048   0.0396016  0.00128169         1.7
          11    0.038338   0.0394867  0.00117031         1.7
          12    0.030142    0.038708  0.00130642         1.7
          13     0.04225   0.0389805  0.00123401         1.7
          14    0.042056   0.0392001  0.00116526         1.7
          15    0.039224   0.0392017  0.00108758         1.7
          16    0.035268   0.0389559  0.00104702         1.7
          17    0.032756   0.0385912  0.00104703         1.7
          18    0.038768    0.038601 0.000988904         1.7
          19    0.039438   0.0386451 0.000937837         1.7
          20    0.034732   0.0384494 0.000911125         1.7
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.051648    0.051648           0         1.6
           2    0.039212     0.04543  0.00439679         1.6
           3    0.045692   0.0455173  0.00293206         1.6
           4    0.050388    0.046735  0.00243882         1.6
           5     0.04557    0.046502  0.00196215         1.6
           6    0.034238    0.044458  0.00248098         1.6
           7    0.048246   0.0449991  0.00218477         1.6
           8    0.041334    0.044541  0.00195912         1.6
           9    0.037202   0.0437256   0.0019036         1.6
          10    0.042974   0.0436504  0.00171472         1.6
          11    0.040094   0.0433271  0.00158903         1.6
          12      0.0393   0.0429915  0.00149162         1.6
          13    0.040734   0.0428178  0.00138695         1.6
          14    0.033684   0.0421654  0.00143314         1.6
          15    0.041918   0.0421489  0.00133769         1.6
          16    0.044938   0.0423233   0.0012654         1.6
          17     0.04135    0.042266  0.00119225         1.6
          18    0.047352   0.0425486  0.00115902         1.6
          19    0.042882   0.0425661  0.00109815         1.6
          20    0.039954   0.0424355  0.00105098         1.6
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.051316    0.051316           0         1.5
           2     0.04775    0.049533  0.00126077         1.5
           3    0.042354     0.04714  0.00212699         1.5
           4    0.051926   0.0483365  0.00190224         1.5
           5    0.058058   0.0502808  0.00231086         1.5
           6    0.049206   0.0501017  0.00193265         1.5
           7    0.052276   0.0504123  0.00168133         1.5
           8    0.048342   0.0501535  0.00149095         1.5
           9    0.048848   0.0500084  0.00133233         1.5
          10    0.050548   0.0500624  0.00120019         1.5
          11    0.054644   0.0504789   0.0011611         1.5
          12    0.049966   0.0504362  0.00106513         1.5
          13     0.05218   0.0505703 0.000991608         1.5
          14    0.045718   0.0502237  0.00097948         1.5
          15    0.049182   0.0501543  0.00091664         1.5
          16    0.051354   0.0502293 0.000862411         1.5
          17     0.05095   0.0502716 0.000812723         1.5
          18     0.05275   0.0504093 0.000779147         1.5
          19    0.054046   0.0506007 0.000761286         1.5
          20      0.0435   0.0502457 0.000801747         1.5
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.061172    0.061172           0         1.4
           2     0.05173    0.056451  0.00333825         1.4
           3    0.048914   0.0539387  0.00302667         1.4
           4    0.065362   0.0567945  0.00335704         1.4
           5    0.067032    0.058842  0.00325061         1.4
           6    0.061136   0.0592243  0.00273123         1.4
           7    0.047972   0.0576169  0.00277405         1.4
           8    0.060898    0.058027  0.00245743         1.4
           9    0.061774   0.0584433  0.00221937         1.4
          10    0.058448   0.0584438  0.00199743         1.4
          11    0.064322   0.0589782  0.00188598         1.4
          12    0.054904   0.0586387  0.00175911         1.4
          13    0.058004   0.0585898  0.00162447         1.4
          14     0.06156    0.058802  0.00152222         1.4
          15    0.050374   0.0582401  0.00152091         1.4
          16    0.060952   0.0584096  0.00143526         1.4
          17    0.054458   0.0581772  0.00136953         1.4
          18    0.060352    0.058298  0.00129876         1.4
          19    0.058444   0.0583057  0.00123043         1.4
          20    0.058002   0.0582905    0.001169         1.4
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.07463     0.07463           0         1.3
           2    0.074562    0.074596 2.40416e-05         1.3
           3    0.055614   0.0682687  0.00516627         1.3
           4    0.066052   0.0677145  0.00390431         1.3
           5    0.072888   0.0687492  0.00325767         1.3
           6    0.080684   0.0707383  0.00326603         1.3
           7    0.070372    0.070686  0.00279987         1.3
           8    0.063902    0.069838  0.00257511         1.3
           9    0.074458   0.0703513  0.00233959         1.3
          10    0.074046   0.0707208   0.0021346         1.3
          11     0.06641   0.0703289  0.00197619         1.3
          12     0.05904   0.0693882  0.00202307         1.3
          13    0.069598   0.0694043  0.00186752         1.3
          14    0.084884     0.07051  0.00203529         1.3
          15    0.071524   0.0705776  0.00190073         1.3
          16    0.069332   0.0704998  0.00178353         1.3
          17    0.069126   0.0704189  0.00168044         1.3
          18    0.063214   0.0700187  0.00163406         1.3
          19    0.075334   0.0702984  0.00157182         1.3
          20     0.06821    0.070194   0.0014967         1.3
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.078032    0.078032           0         1.2
           2    0.086754    0.082393  0.00308369         1.2
           3     0.06628    0.077022  0.00484335         1.2
           4    0.093238    0.081076  0.00505187         1.2
           5    0.090198   0.0829004  0.00435849         1.2
           6     0.09102   0.0842537  0.00383641         1.2
           7    0.096726   0.0860354  0.00367892         1.2
           8    0.077504    0.084969  0.00337007         1.2
           9    0.073334   0.0836762  0.00323409         1.2
          10    0.072906   0.0825992  0.00308481         1.2
          11     0.08305   0.0826402  0.00280464         1.2
          12    0.093892   0.0835778  0.00272315         1.2
          13    0.099912   0.0848343  0.00278853         1.2
          14    0.065638   0.0834631  0.00290698         1.2
          15     0.09574   0.0842816  0.00282605         1.2
          16    0.067538   0.0832351  0.00283656         1.2
          17     0.09566    0.083966  0.00276226         1.2
          18     0.08381   0.0839573  0.00260882         1.2
          19    0.089472   0.0842476   0.0024876         1.2
          20    0.076394   0.0838549  0.00239402         1.2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.11012     0.11012           0         1.1
           2    0.105318    0.107719  0.00169776         1.1
           3     0.12041    0.111949  0.00363477         1.1
           4    0.115976    0.112956  0.00286208         1.1
           5    0.125714    0.115508  0.00323282         1.1
           6    0.080398    0.109656  0.00598265         1.1
           7    0.131832    0.112824  0.00590751         1.1
           8    0.110744    0.112564  0.00517479         1.1
           9    0.109594    0.112234  0.00461032         1.1
          10    0.107054    0.111716  0.00417829         1.1
          11    0.107452    0.111328  0.00381639         1.1
          12    0.126088    0.112558  0.00369124         1.1
          13     0.11863    0.113025  0.00343672         1.1
          14    0.117056    0.113313  0.00320327         1.1
          15    0.127316    0.114247  0.00312279         1.1
          16    0.090282    0.112749  0.00326712         1.1
          17    0.109566    0.112562   0.0030803         1.1
          18     0.10064    0.111899  0.00297953         1.1
          19    0.121668    0.112414  0.00286673         1.1
          20    0.105642    0.112075  0.00274331         1.1
