#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.190301    0.190301           0           2
           2    0.190945    0.190623 0.000227588           2
           3    0.190362    0.190536 0.000167504           2
           4    0.190402    0.190503 0.000128937           2
           5    0.190146    0.190431 0.000121325           2
           6    0.190314    0.190412 0.000102677           2
           7    0.190467     0.19042 8.83138e-05           2
           8     0.19035    0.190411 7.76991e-05           2
           9    0.190357    0.190405  6.9296e-05           2
          10    0.190463    0.190411 6.26099e-05           2
          11    0.190699    0.190437 6.21651e-05           2
          12    0.189859    0.190389 7.33228e-05           2
          13    0.189785    0.190342 8.10854e-05           2
          14    0.190873     0.19038 8.36942e-05           2
          15    0.190433    0.190384 7.81884e-05           2
          16    0.190139    0.190369 7.47791e-05           2
          17    0.190297    0.190364 7.04975e-05           2
          18    0.190376    0.190365 6.65838e-05           2
          19    0.190154    0.190354 6.40026e-05           2
          20     0.19065    0.190369 6.24968e-05           2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.205119    0.205119           0         1.9
           2    0.206095    0.205607 0.000345233         1.9
           3     0.20525    0.205488 0.000249873         1.9
           4    0.205379    0.205461 0.000188885         1.9
           5    0.205459     0.20546 0.000151108         1.9
           6    0.205642    0.205491 0.000128905         1.9
           7     0.20545    0.205485 0.000110618         1.9
           8    0.205531    0.205491 9.69419e-05         1.9
           9    0.205504    0.205492 8.61819e-05         1.9
          10    0.205837    0.205527 8.41789e-05         1.9
          11    0.205786     0.20555 7.97612e-05         1.9
          12    0.204914    0.205497  8.9009e-05         1.9
          13    0.205287    0.205481 8.36189e-05         1.9
          14    0.205937    0.205514  8.3752e-05         1.9
          15    0.205588    0.205519 7.83157e-05         1.9
          16    0.205227      0.2055 7.55116e-05         1.9
          17    0.205437    0.205497 7.11609e-05         1.9
          18    0.205417    0.205492 6.73457e-05         1.9
          19    0.205214    0.205478 6.53789e-05         1.9
          20    0.205887    0.205498 6.52359e-05         1.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.221732    0.221732           0         1.8
           2    0.222833    0.222283 0.000389162         1.8
           3    0.221661    0.222075 0.000309769         1.8
           4    0.221827    0.222013 0.000238466         1.8
           5    0.221881    0.221987 0.000192238         1.8
           6      0.2223    0.222039 0.000167131         1.8
           7       0.222    0.222033 0.000143348         1.8
           8    0.222068    0.222038 0.000125496         1.8
           9    0.222301    0.222067 0.000114902         1.8
          10    0.222471    0.222107  0.00011029         1.8
          11    0.222434    0.222137 0.000104181         1.8
          12    0.221576     0.22209 0.000105468         1.8
          13    0.221716    0.222062 0.000101208         1.8
          14    0.222843    0.222117 0.000108285         1.8
          15     0.22232    0.222131 0.000101906         1.8
          16    0.222042    0.222125 9.56881e-05         1.8
          17    0.222089    0.222123 9.00834e-05         1.8
          18    0.222094    0.222122  8.5093e-05         1.8
          19    0.221971    0.222114 8.09822e-05         1.8
          20    0.222758    0.222146 8.30908e-05         1.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1     0.24002     0.24002           0         1.7
           2    0.240745    0.240382 0.000256432         1.7
           3    0.240236    0.240334 0.000175531         1.7
           4    0.240092    0.240273 0.000141654         1.7
           5    0.239751    0.240169 0.000146908         1.7
           6    0.240781    0.240271 0.000153855         1.7
           7    0.239756    0.240197 0.000148434         1.7
           8    0.240394    0.240222 0.000131895         1.7
           9    0.240534    0.240256 0.000121711         1.7
          10    0.240892     0.24032 0.000125028         1.7
          11    0.240371    0.240325 0.000113747         1.7
          12    0.239881    0.240288 0.000110098         1.7
          13     0.24001    0.240266 0.000103682         1.7
          14     0.24135    0.240344 0.000121785         1.7
          15    0.240586     0.24036 0.000114729         1.7
          16    0.239678    0.240317 0.000115204         1.7
          17    0.240135    0.240306 0.000108923         1.7
          18    0.240465    0.240315 0.000103227         1.7
          19    0.239884    0.240293 0.000100254         1.7
          20    0.241383    0.240347 0.000109051         1.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1     0.25961     0.25961           0         1.6
           2     0.26081     0.26021 0.000424116         1.6
           3    0.259707    0.260042 0.000314085         1.6
           4    0.259367    0.259873 0.000277269         1.6
           5    0.259158     0.25973 0.000256091         1.6
           6    0.260809     0.25991 0.000269246         1.6
           7    0.259443    0.259843  0.00023891         1.6
           8     0.26008    0.259873 0.000210872         1.6
           9    0.260341    0.259925 0.000193757         1.6
          10    0.260379     0.25997 0.000179617         1.6
          11    0.260153    0.259987 0.000164054         1.6
          12    0.259367    0.259935 0.000158309         1.6
