#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.190146    0.190146           0           2
           2    0.190818    0.190482 0.000237534           2
           3    0.190467    0.190477 0.000158409           2
           4    0.190389    0.190455 0.000120332           2
           5    0.190083    0.190381 0.000117024           2
           6    0.190474    0.190396 9.85508e-05           2
           7    0.189938    0.190331  0.00010397           2
           8    0.189798    0.190264 0.000110229           2
           9    0.190211    0.190258 9.81403e-05           2
          10    0.190759    0.190308 0.000100301           2
          11    0.190234    0.190301 9.14107e-05           2
          12    0.190277    0.190299 8.38168e-05           2
          13    0.190353    0.190304 7.74717e-05           2
          14    0.190092    0.190288 7.34001e-05           2
          15    0.190564    0.190307 7.07744e-05           2
          16    0.190212    0.190301  6.6598e-05           2
          17    0.190193    0.190295 6.29823e-05           2
          18    0.189929    0.190274 6.26754e-05           2
          19    0.190499    0.190286 6.04806e-05           2
          20    0.190379    0.190291 5.76352e-05           2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.205228    0.205228           0         1.9
           2    0.205774    0.205501 0.000193093         1.9
           3    0.205569    0.205523 0.000130051         1.9
           4    0.205211    0.205445 0.000118663         1.9
           5    0.205146    0.205385 0.000108949         1.9
           6    0.206184    0.205518 0.000151612         1.9
           7    0.204683    0.205399 0.000170593         1.9
           8    0.205392    0.205398 0.000149271         1.9
           9    0.205626    0.205424 0.000134816         1.9
          10    0.205952    0.205476 0.000131271         1.9
          11    0.205447    0.205474 0.000119364         1.9
          12    0.205128    0.205445 0.000112842         1.9
          13    0.205411    0.205442 0.000104191         1.9
          14    0.205183    0.205424 9.83877e-05         1.9
          15    0.205828    0.205451  9.5443e-05         1.9
          16    0.205331    0.205443 8.97723e-05         1.9
          17    0.205567     0.20545 8.47852e-05         1.9
          18    0.205639    0.205461 8.07195e-05         1.9
          19    0.205209    0.205448 7.75487e-05         1.9
          20    0.205327    0.205442 7.39067e-05         1.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.221919    0.221919           0         1.8
           2    0.222921     0.22242 0.000354286         1.8
           3    0.222287    0.222376 0.000238955         1.8
           4    0.221404    0.222133 0.000276426         1.8
           5    0.222126    0.222131 0.000221144         1.8
           6     0.22274    0.222233 0.000206272         1.8
           7    0.221631    0.222147 0.000193873         1.8
           8    0.222109    0.222142 0.000169698         1.8
           9    0.222034     0.22213  0.00015127         1.8
          10    0.222341    0.222151 0.000137601         1.8
          11    0.222174    0.222153 0.000125107         1.8
          12    0.221625    0.222109 0.000122166         1.8
          13    0.222349    0.222128 0.000114149         1.8
          14    0.222081    0.222124 0.000106045         1.8
          15    0.222413    0.222144 0.000100712         1.8
          16    0.221523    0.222105 0.000101608         1.8
          17    0.222381    0.222121 9.69231e-05         1.8
          18    0.222048    0.222117 9.16224e-05         1.8
          19    0.221478    0.222083 9.27653e-05         1.8
          20    0.222341    0.222096 8.90188e-05         1.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.239908    0.239908           0         1.7
           2     0.24111    0.240509 0.000424889         1.7
           3    0.240564    0.240527 0.000283665         1.7
           4    0.239716    0.240324 0.000275903         1.7
           5    0.240269    0.240313 0.000220948         1.7
           6    0.241046    0.240435 0.000215242         1.7
           7    0.239952    0.240366 0.000195255         1.7
           8    0.240338    0.240363 0.000170881         1.7
           9    0.241481    0.240487 0.000191831         1.7
          10    0.240752    0.240514 0.000174475         1.7
          11    0.240889    0.240548 0.000161911         1.7
          12    0.240421    0.240537  0.00014876         1.7
          13    0.241079    0.240579 0.000143031         1.7
          14    0.239974    0.240536 0.000139182         1.7
          15    0.240633    0.240542 0.000130054         1.7
          16    0.239937    0.240504 0.000127297         1.7
          17    0.240104    0.240481 0.000121966         1.7
          18    0.239858    0.240446 0.000120003         1.7
          19    0.239518    0.240397  0.00012323         1.7
          20     0.23989    0.240372 0.000119652         1.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.259518    0.259518           0         1.6
           2    0.261324    0.260421 0.000638473         1.6
           3    0.260061    0.260301 0.000436755         1.6
           4    0.259338     0.26006 0.000388329         1.6
           5    0.259792    0.260007  0.00031435         1.6
           6    0.261126    0.260193 0.000312474         1.6
           7    0.258735    0.259985 0.000330038         1.6
           8    0.260552    0.260056 0.000296309         1.6
           9    0.260908     0.26015 0.000278094         1.6
          10    0.260031    0.260138 0.000250541         1.6
          11    0.259913    0.260118 0.000228603         1.6
          12    0.259163    0.260038  0.00022297         1.6
          13    0.260045    0.260039 0.000205819         1.6
          14    0.259303    0.259986 0.000197723         1.6
          15    0.260859    0.260045 0.000192917         1.6
          16    0.260323    0.260062 0.000181643         1.6
          17    0.260405    0.260082 0.000172075         1.6
          18    0.259344    0.260041  0.00016733         1.6
          19    0.259127    0.259993 0.000165302         1.6
          20     0.26088    0.260037  0.00016288         1.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.280565    0.280565           0         1.5
           2    0.282026    0.281296 0.000516554         1.5
           3    0.281507    0.281366 0.000349132         1.5
           4    0.280056    0.281038 0.000386047         1.5
           5    0.281314    0.281094 0.000312741         1.5
           6    0.281346    0.281136 0.000263429         1.5
           7    0.280537     0.28105 0.000239273         1.5
           8     0.28144    0.281099 0.000214276         1.5
           9    0.282113    0.281212 0.000218086         1.5
          10    0.280605    0.281151 0.000204528         1.5
          11    0.281351    0.281169 0.000186738         1.5
          12    0.281089    0.281162 0.000171297         1.5
          13    0.282021    0.281228 0.000170382         1.5
          14     0.28102    0.281214 0.000158861         1.5
          15    0.282159    0.281277 0.000160296         1.5
          16    0.281434    0.281286 0.000150578         1.5
          17    0.282275    0.281345 0.000152538         1.5
          18    0.280451    0.281295 0.000151929         1.5
          19    0.281308    0.281296 0.000143934         1.5
          20    0.282522    0.281357 0.000149232         1.5
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.303581    0.303581           0         1.4
           2    0.305365    0.304473 0.000630578         1.4
           3    0.304508    0.304485 0.000420493         1.4
           4    0.302131    0.303896 0.000599348         1.4
           5    0.305107    0.304138 0.000526128         1.4
           6    0.304161    0.304142 0.000438453         1.4
           7    0.304158    0.304144 0.000375823         1.4
           8    0.304923    0.304242 0.000341211         1.4
           9    0.305077    0.304334 0.000315682         1.4
          10    0.304149    0.304316 0.000284659         1.4
          11    0.304076    0.304294 0.000259616         1.4
          12    0.303622    0.304238 0.000243942         1.4
          13    0.304425    0.304252 0.000225602         1.4
          14    0.304549    0.304274 0.000210478         1.4
          15    0.305331    0.304344 0.000207917         1.4
          16    0.304685    0.304365 0.000196008         1.4
          17    0.304455    0.304371 0.000184549         1.4
          18    0.302275    0.304254 0.000207812         1.4
          19    0.303716    0.304226 0.000198793         1.4
          20    0.305424    0.304286 0.000197671         1.4
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.326486    0.326486           0         1.3
           2    0.328726    0.327606 0.000792055         1.3
           3    0.327439     0.32755 0.000530009         1.3
           4    0.326766    0.327354 0.000432303         1.3
           5    0.327104    0.327304 0.000348717         1.3
           6     0.32752     0.32734  0.00029244         1.3
           7    0.325373    0.327059 0.000361263         1.3
           8    0.327981    0.327174 0.000333994         1.3
           9     0.32809    0.327276 0.000311985         1.3
          10    0.327264    0.327275 0.000280789         1.3
          11    0.326455      0.3272 0.000264969         1.3
          12    0.327215    0.327202 0.000242891         1.3
          13    0.326916     0.32718 0.000225198         1.3
          14    0.328301     0.32726 0.000222892         1.3
          15    0.327381    0.327268 0.000208178         1.3
          16    0.328712    0.327358  0.00021385         1.3
          17    0.327474    0.327365 0.000201378         1.3
          18    0.325225    0.327246 0.000222519         1.3
          19    0.327849    0.327278 0.000213059         1.3
          20    0.328606    0.327344 0.000212504         1.3
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.347984    0.347984           0         1.2
           2    0.351763    0.349873  0.00133598         1.2
           3    0.350642     0.35013 0.000914915         1.2
           4    0.349695    0.350021   0.0006926         1.2
           5    0.349793    0.349975 0.000555582         1.2
           6    0.351505     0.35023 0.000518191         1.2
           7    0.349559    0.350134 0.000452955         1.2
           8     0.34944    0.350048 0.000404556         1.2
           9    0.351994    0.350264 0.000413402         1.2
          10    0.348182    0.350056 0.000421245         1.2
          11    0.349277    0.349985  0.00038885         1.2
          12     0.34914    0.349915  0.00036276         1.2
          13    0.348271    0.349788 0.000356193         1.2
          14    0.352638    0.349992 0.000384556         1.2
          15    0.348084    0.349865 0.000379364         1.2
          16     0.34912    0.349818 0.000358496         1.2
          17    0.350061    0.349832 0.000337694         1.2
          18    0.349707    0.349825 0.000319005         1.2
          19    0.349838    0.349826 0.000302216         1.2
          20    0.350473    0.349858 0.000288834         1.2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.371663    0.371663           0         1.1
           2    0.369512    0.370588 0.000760723         1.1
           3    0.371832    0.371002 0.000609896         1.1
           4    0.370811    0.370955 0.000459287         1.1
           5    0.369615    0.370687 0.000438717         1.1
           6    0.373957    0.371232 0.000617435         1.1
           7    0.370259    0.371093 0.000544643         1.1
           8    0.373924    0.371447 0.000580259         1.1
           9    0.372999    0.371619 0.000540811         1.1
          10    0.372017    0.371659 0.000488188         1.1
          11     0.37093    0.371593 0.000448278         1.1
          12    0.371144    0.371555 0.000412478         1.1
          13    0.368379    0.371311 0.000447289         1.1
          14    0.373272    0.371451 0.000436731         1.1
          15    0.370126    0.371363 0.000416456         1.1
          16    0.369751    0.371262 0.000402425         1.1
          17    0.373748    0.371408 0.000404459         1.1
          18    0.372965    0.371495 0.000391125         1.1
          19    0.369244    0.371376 0.000388068         1.1
          20    0.371568    0.371386 0.000368783         1.1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.387946    0.387946           0           1
           2    0.388613    0.388279 0.000235886           1
           3    0.387265    0.387941 0.000317659           1
           4      0.3845    0.387081 0.000782241           1
           5    0.383092    0.386283 0.000949149           1
           6    0.385205    0.386103 0.000807804           1
           7    0.388064    0.386384 0.000739383           1
           8    0.392267    0.387119 0.000944321           1
           9    0.390117    0.387452 0.000896211           1
          10    0.385973    0.387304 0.000818704           1
          11    0.388222    0.387388 0.000748518           1
          12    0.385919    0.387265 0.000696075           1
          13    0.386078    0.387174 0.000648492           1
          14    0.389315    0.387327 0.000619951           1
          15    0.382238    0.386988 0.000664995           1
          16    0.383802    0.386788 0.000652566           1
          17    0.389341    0.386939 0.000631215           1
          18    0.388624    0.387032  0.00060305           1
          19    0.385611    0.386957 0.000575928           1
          20    0.387458    0.386982 0.000547676           1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.394279    0.394279           0         0.9
           2    0.394092    0.394185 6.62651e-05         0.9
           3    0.392374    0.393582 0.000494858         0.9
           4    0.393852    0.393649 0.000375715         0.9
           5     0.39599    0.394117  0.00051553         0.9
           6     0.39032    0.393484  0.00071997         0.9
           7     0.39257    0.393354 0.000628859         0.9
           8    0.395705    0.393648 0.000615118         0.9
           9    0.396501    0.393965 0.000623134         0.9
          10    0.390598    0.393628 0.000645402         0.9
          11    0.397468    0.393977 0.000674548         0.9
          12    0.389095     0.39357 0.000730792         0.9
          13    0.388393    0.393172 0.000775534         0.9
          14    0.395888    0.393366 0.000744002         0.9
          15    0.394595    0.393448 0.000698896         0.9
          16    0.392321    0.393378 0.000658755         0.9
          17    0.396966    0.393589 0.000652954         0.9
          18    0.394791    0.393655 0.000620087         0.9
          19     0.38992    0.393459 0.000617837         0.9
          20    0.395191    0.393545 0.000592982         0.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.379334    0.379334           0         0.8
           2    0.386408    0.382871  0.00250092         0.8
           3    0.383234    0.382992   0.0016702         0.8
           4    0.373883    0.380715  0.00233642         0.8
           5     0.37611    0.379794  0.00204258         0.8
           6    0.372472    0.378573  0.00203428         0.8
           7    0.379522    0.378709  0.00174817         0.8
           8    0.384835    0.379475  0.00168906         0.8
           9    0.388711    0.380501  0.00178618         0.8
          10    0.381945    0.380645  0.00161339         0.8
          11     0.37762     0.38037  0.00148998         0.8
          12     0.38624    0.380859  0.00144388         0.8
          13    0.381792    0.380931  0.00133459         0.8
          14    0.390241    0.381596  0.00139513         0.8
          15    0.384582    0.381795  0.00131625         0.8
          16    0.377272    0.381512  0.00126397         0.8
          17    0.384505    0.381688  0.00120182         0.8
          18    0.374489    0.381289  0.00119976         0.8
          19    0.381137    0.381281  0.00113664         0.8
          20    0.380101    0.381222  0.00108134         0.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.336528    0.336528           0         0.7
           2    0.335936    0.336232 0.000209472         0.7
           3    0.354752    0.342405  0.00504252         0.7
           4    0.363351    0.347642  0.00590494         0.7
           5    0.331438    0.344401  0.00554238         0.7
           6    0.331515    0.342253  0.00501753         0.7
           7    0.351356    0.343554  0.00446608         0.7
           8    0.349163    0.344255  0.00396248         0.7
           9    0.330857    0.342766  0.00379152         0.7
          10    0.320687    0.340558  0.00400394         0.7
          11    0.349784    0.341397  0.00372675         0.7
          12    0.324782    0.340012  0.00366438         0.7
          13    0.358065    0.341401  0.00363612         0.7
          14     0.35599    0.342443  0.00352256         0.7
          15    0.342969    0.342478   0.0032879         0.7
          16    0.345387     0.34266  0.00308742         0.7
          17    0.359504    0.343651  0.00306067         0.7
          18    0.334374    0.343135  0.00293371         0.7
          19    0.315619    0.341687  0.00311633         0.7
          20    0.340743     0.34164  0.00296088         0.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.219087    0.219087           0         0.6
           2    0.227261    0.223174  0.00288973         0.6
           3    0.282094    0.242814   0.0161513         0.6
           4    0.283416    0.252965    0.014967         0.6
           5    0.246567    0.251685   0.0120282         0.6
           6    0.233453    0.248646   0.0104002         0.6
           7    0.263517    0.250771  0.00912886         0.6
           8    0.254626    0.251253  0.00800046         0.6
           9    0.229617    0.248849  0.00746395         0.6
          10    0.218122    0.245776  0.00732276         0.6
          11    0.272726    0.248226    0.007055         0.6
          12     0.23455    0.247086  0.00655849         0.6
          13    0.229606    0.245742   0.0061903         0.6
          14    0.261628    0.246876  0.00585122         0.6
          15    0.263021    0.247953  0.00555924         0.6
          16    0.214904    0.245887  0.00558235         0.6
          17    0.244386    0.245799  0.00525468         0.6
          18    0.263173    0.246764  0.00505062         0.6
          19    0.236364    0.246217  0.00481437         0.6
          20    0.227248    0.245268  0.00466614         0.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1   0.0512875   0.0512875           0         0.5
           2   0.0437447   0.0475161  0.00266679         0.5
           3   0.0830568    0.059363  0.00983499         0.5
           4   0.0703336   0.0621056  0.00774923         0.5
           5   0.0362205   0.0569286  0.00773781         0.5
           6   0.0522836   0.0561544  0.00648679         0.5
           7   0.0880747   0.0607145  0.00698127         0.5
           8   0.0312319   0.0570292   0.0070142         0.5
           9   0.0297697   0.0540003  0.00685768         0.5
          10  0.00627029   0.0492273   0.0076548         0.5
          11  0.00996446    0.045658  0.00774651         0.5
          12   0.0417577    0.045333  0.00710778         0.5
          13   0.0595761   0.0464286  0.00664494         0.5
          14   0.0729438   0.0483225  0.00643455         0.5
          15   0.0034657   0.0453321  0.00666435         0.5
          16  0.00670975   0.0429182  0.00667069         0.5
          17 -0.00735046   0.0399612  0.00690264         0.5
          18    0.103863   0.0435113  0.00737581         0.5
          19   0.0323559   0.0429242  0.00701094         0.5
          20    0.069761    0.044266  0.00678759         0.5
