#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.36937     1.36937           0           2
           2      1.3433     1.35633  0.00921502           2
           3     1.34346     1.35204  0.00707205           2
           4     1.36267      1.3547  0.00578171           2
           5     1.35523     1.35481  0.00462633           2
           6     1.31325     1.34788  0.00740525           2
           7     1.35395     1.34875  0.00639786           2
           8      1.3893     1.35382  0.00733645           2
           9     1.35998      1.3545  0.00655318           2
          10     1.32164     1.35122   0.0066709           2
          11     1.38833     1.35459    0.006865           2
          12     1.37779     1.35652  0.00655943           2
          13     1.35849     1.35667  0.00605661           2
          14     1.37378      1.3579  0.00574587           2
          15     1.34877     1.35729  0.00539489           2
          16     1.35903      1.3574  0.00505881           2
          17     1.37179     1.35824  0.00483153           2
          18     1.37348     1.35909  0.00463664           2
          19     1.34012     1.35809  0.00449883           2
          20     1.38667     1.35952   0.0044951           2
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.52214     1.52214           0         1.9
           2     1.46464     1.49339   0.0203282         1.9
           3     1.50306     1.49661   0.0138052         1.9
           4     1.54108     1.50773   0.0141388         1.9
           5     1.51606      1.5094   0.0114089         1.9
           6     1.45933     1.50105   0.0121821         1.9
           7      1.5255     1.50454   0.0109308         1.9
           8     1.51037     1.50527  0.00958869         1.9
           9      1.5355     1.50863   0.0090926         1.9
          10     1.49284     1.50705  0.00831934         1.9
          11     1.50406     1.50678  0.00756748         1.9
          12     1.53074     1.50878  0.00719541         1.9
          13     1.54994     1.51194  0.00730538         1.9
          14     1.55499     1.51502   0.0074024         1.9
          15     1.47252     1.51218  0.00743134         1.9
          16     1.51472     1.51234  0.00696857         1.9
          17     1.47628     1.51022  0.00687393         1.9
          18     1.48945     1.50907  0.00658819         1.9
          19     1.52735     1.51003  0.00631132         1.9
          20     1.49224     1.50914  0.00605812         1.9
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     1.65692     1.65692           0         1.8
           2     1.66946     1.66319  0.00443277         1.8
           3     1.70878     1.67839   0.0127536         1.8
           4     1.73298     1.69204    0.015205         1.8
           5     1.72932     1.69949   0.0138727         1.8
           6     1.64312      1.6901    0.014395         1.8
           7     1.65306     1.68481   0.0132756         1.8
           8     1.66725     1.68261   0.0117961         1.8
           9     1.65603     1.67966   0.0108489         1.8
          10     1.67062     1.67875  0.00980159         1.8
          11     1.69365     1.68011  0.00900364         1.8
          12     1.70864     1.68249  0.00856146         1.8
          13     1.66886     1.68144  0.00796679         1.8
          14     1.69456     1.68237  0.00745263         1.8
          15     1.67515     1.68189  0.00697133         1.8
          16     1.66937     1.68111  0.00657939         1.8
          17     1.66656     1.68025  0.00624781         1.8
