#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.462624   -0.462624           0           2
           2   -0.459868   -0.461246 0.000974393           2
           3   -0.461468    -0.46132 0.000652399           2
           4   -0.462204   -0.461541   0.0005254           2
           5     -0.4633   -0.461893 0.000525052           2
           6    -0.46178   -0.461874 0.000437879           2
           7   -0.463868   -0.462159 0.000458716           2
           8   -0.464092   -0.462401 0.000460647           2
           9   -0.462688   -0.462432  0.00041057           2
          10   -0.460528   -0.462242 0.000411318           2
          11   -0.463016   -0.462312 0.000379896           2
          12   -0.462424   -0.462322 0.000348352           2
          13    -0.46206   -0.462302 0.000322137           2
          14   -0.463256    -0.46237 0.000306256           2
          15   -0.461444   -0.462308 0.000291991           2
          16   -0.462572   -0.462325 0.000274207           2
          17   -0.462736   -0.462349 0.000259144           2
          18   -0.464044   -0.462443 0.000261302           2
          19   -0.461796   -0.462409 0.000249757           2
          20   -0.461924   -0.462385 0.000238443           2
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.483244   -0.483244           0         1.9
           2   -0.481336    -0.48229  0.00067458         1.9
           3    -0.48208    -0.48222 0.000453337         1.9
           4   -0.483844   -0.482626  0.00048911         1.9
           5    -0.48364   -0.482829 0.000431287         1.9
           6   -0.480396   -0.482423 0.000515922         1.9
           7   -0.485188   -0.482818 0.000573813         1.9
           8   -0.482792   -0.482815 0.000502095         1.9
           9   -0.482056   -0.482731 0.000453334         1.9
          10    -0.48068   -0.482526 0.000452009         1.9
          11   -0.482716   -0.482543 0.000411248         1.9
          12     -0.4836   -0.482631 0.000386297         1.9
          13   -0.482484    -0.48262 0.000356747         1.9
          14    -0.48358   -0.482688 0.000337795         1.9
          15   -0.481412   -0.482603 0.000325815         1.9
          16   -0.483252   -0.482644 0.000307965         1.9
          17   -0.482232    -0.48262   0.0002908         1.9
          18    -0.48238   -0.482606 0.000274949         1.9
          19    -0.48336   -0.482646 0.000263325         1.9
          20   -0.482796   -0.482653 0.000250265         1.9
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.505068   -0.505068           0         1.8
           2     -0.5022   -0.503634  0.00101399         1.8
           3   -0.503884   -0.503717  0.00067941         1.8
           4    -0.50688   -0.504508  0.00085353         1.8
           5   -0.504536   -0.504514 0.000682843         1.8
           6   -0.502748   -0.504219 0.000629255         1.8
           7   -0.506072   -0.504484 0.000592412         1.8
           8   -0.504544   -0.504492 0.000518408         1.8
           9   -0.504968   -0.504544 0.000463503         1.8
          10   -0.503868   -0.504477  0.00042206         1.8
          11   -0.504436   -0.504473 0.000383707         1.8
          12   -0.505772   -0.504581 0.000366681         1.8
          13    -0.50374   -0.504517 0.000344139         1.8
          14    -0.50466   -0.504527  0.00031971         1.8
          15   -0.503912   -0.504486 0.000301012         1.8
          16   -0.506384   -0.504605 0.000304681         1.8
          17   -0.503868   -0.504561 0.000289822         1.8
          18   -0.505024   -0.504587 0.000274859         1.8
          19     -0.5067   -0.504698 0.000281998         1.8
          20   -0.503872   -0.504657 0.000270906         1.8
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.529488   -0.529488           0         1.7
           2   -0.526396   -0.527942  0.00109319         1.7
           3   -0.527904   -0.527929 0.000728865         1.7
           4   -0.530228   -0.528504  0.00073926         1.7
           5   -0.528628   -0.528529 0.000591824         1.7
           6     -0.5265   -0.528191 0.000581818         1.7
           7   -0.529704   -0.528407 0.000537368         1.7
           8   -0.528184   -0.528379 0.000470918         1.7
           9   -0.525568   -0.528067 0.000511795         1.7
          10   -0.527296    -0.52799 0.000466382         1.7
          11   -0.526992   -0.527899 0.000432711         1.7
          12   -0.527792    -0.52789 0.000396744         1.7
          13   -0.526316   -0.527769 0.000384256         1.7
          14   -0.529116   -0.527865 0.000368659         1.7
          15   -0.527656   -0.527851 0.000344346         1.7
          16    -0.52942   -0.527949 0.000336494         1.7
          17   -0.529204   -0.528023 0.000324694         1.7
          18   -0.529832   -0.528124 0.000321833         1.7
          19   -0.530468   -0.528247 0.000327696         1.7
          20   -0.529512    -0.52831 0.000317357         1.7
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1    -0.55558    -0.55558           0         1.6
           2   -0.551628   -0.553604  0.00139724         1.6
           3   -0.554308   -0.553839 0.000950997         1.6
