#BLOCK: ENERGY: ERROR:
1 -0.0999717 0
2 -0.131853 0.0318816
3 -0.135632 0.0187907
4 -0.128109 0.0152687
5 -0.129023 0.0118623
6 -0.130455 0.00979094
7 -0.129948 0.00829042
8 -0.134255 0.00837253
9 -0.130878 0.00811924
10 -0.127572 0.00797936
11 -0.136281 0.0113114
12 -0.13973 0.0108866
13 -0.145238 0.011429
14 -0.142524 0.0109236
15 -0.144831 0.0104276
16 -0.139168 0.0112788
17 -0.137843 0.0106771
18 -0.140526 0.0104179
19 -0.139276 0.00993335
20 -0.142112 0.00984113
21 -0.140669 0.00947139
22 -0.141225 0.00904775
23 -0.144799 0.00935513
24 -0.143159 0.00910588
25 -0.143968 0.00877143
26 -0.144847 0.00847302
27 -0.142344 0.00852869
28 -0.142405 0.00821868
29 -0.141329 0.00800285
30 -0.144695 0.00843249
31 -0.145542 0.00819974
32 -0.143647 0.00816236
33 -0.147935 0.00899864
34 -0.148108 0.00873168
35 -0.150627 0.00884482
36 -0.150451 0.00859742
37 -0.150503 0.00836199
38 -0.150132 0.00814743
39 -0.148598 0.00808259
40 -0.15042 0.00808573
41 -0.149967 0.00789903
42 -0.151202 0.00780699
43 -0.151401 0.00762585
44 -0.15107 0.00745784
45 -0.150988 0.00729069
46 -0.149681 0.00724917
47 -0.151211 0.00725641
48 -0.150502 0.00713894
49 -0.150897 0.0070029
50 -0.149225 0.00706237
51 -0.148261 0.00698929
52 -0.149145 0.00691035
53 -0.148677 0.00679486
54 -0.147815 0.00672333
55 -0.146986 0.00665184
56 -0.148049 0.00661797
57 -0.148892 0.00655526
58 -0.148112 0.00648826
59 -0.146817 0.00650763
60 -0.146368 0.00641395
61 -0.145976 0.00632011
62 -0.145237 0.00626115
63 -0.145927 0.00619957
64 -0.145789 0.00610351
65 -0.145777 0.00600888
66 -0.144761 0.00600382
67 -0.144681 0.00591406
68 -0.144301 0.00583882
69 -0.144052 0.005759
70 -0.144845 0.00573133
71 -0.145242 0.00566397
72 -0.14632 0.00568783
73 -0.145874 0.00562709
74 -0.146803 0.00562777
75 -0.147691 0.0056228
76 -0.147494 0.00555181
77 -0.147739 0.00548471
78 -0.147007 0.00546333
79 -0.146665 0.00540455
80 -0.146671 0.00533657
81 -0.146287 0.00528423
82 -0.145679 0.00525464
83 -0.145645 0.00519106
84 -0.14485 0.00519011
85 -0.144628 0.0051335
86 -0.143813 0.0051384
87 -0.14306 0.00513451
88 -0.14329 0.00508103
89 -0.143343 0.00502389
90 -0.143222 0.00496923
91 -0.143676 0.00493521
92 -0.143287 0.0048967
93 -0.14326 0.00484384
94 -0.143456 0.00479606
95 -0.143887 0.00476484
96 -0.144663 0.00477833
97 -0.144139 0.00475775
98 -0.143639 0.00473544
99 -0.14423 0.00472443
100 -0.144673 0.00469796
