#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
0 1.98 0.245299 0.959299 -0.242362 0.006344
1 1.9602 0.152384 0.968149 -0.249192 0.00708667
2 1.9406 0.427933 0.952139 -0.259939 0.00853697
3 1.92119 0.427933 0.952139 -0.262942 0.0120519
4 1.90198 0.616018 0.770886 -0.31863 0.0045839
5 1.88296 0.616018 0.770886 -0.321227 0.00611471
6 1.86413 0.616018 0.770886 -0.325385 0.00600587
7 1.84549 0.616018 0.770886 -0.331795 0.0044749
8 1.82703 0.0618768 0.970275 -0.248678 0.00579776
9 1.80876 0.0618768 0.970275 -0.245732 0.00576348
10 1.79068 0.789761 0.537407 -0.38981 0.00450016
11 1.77277 0.789761 0.537407 -0.387057 0.0048419
12 1.75504 0.689636 0.713395 -0.384728 0.004034
13 1.73749 1.24587 0.652226 0.579055 0.0179153
14 1.72012 0.940535 0.524882 -0.269472 0.00413767
15 1.70292 0.940535 0.524882 -0.274476 0.00397835
16 1.68589 0.940535 0.524882 -0.276855 0.00386707
17 1.66903 0.169514 1.16302 -0.116698 0.0168357
18 1.65234 0.169514 1.16302 -0.118187 0.0160852
19 1.63581 0.169514 1.16302 -0.114047 0.0194698
20 1.61946 0.699776 1.01229 -0.0383555 0.017456
21 1.60326 1.28277 0.368285 0.955241 0.0133711
22 1.58723 1.28277 0.368285 0.93031 0.0136777
23 1.57136 0.796417 0.45583 -0.0996779 0.00973266
24 1.55564 0.796417 0.45583 -0.0988638 0.00974584
25 1.54009 0.796417 0.45583 -0.120772 0.00782475
26 1.52469 0.202566 0.354025 1.24179 0.011876
27 1.50944 0.427481 0.497653 0.0770112 0.00704817
28 1.49434 0.180949 0.575619 0.335995 0.00819349
29 1.4794 0.667403 0.416111 0.0768206 0.0117281
30 1.46461 0.258948 0.249099 1.61013 0.0218427
31 1.44996 0.83842 0.928566 0.0296482 0.0165823
32 1.43546 1.22939 0.683072 0.598414 0.0197901
33 1.42111 0.883347 0.92807 0.0867593 0.02111
34 1.4069 0.883347 0.92807 0.116667 0.0215253
35 1.39283 0.883347 0.92807 0.0649724 0.0236654
36 1.3789 1.36133 0.43299 0.973069 0.00903483
37 1.36511 1.39622 0.530836 1.16678 0.0179038
38 1.35146 1.67503 0.369397 3.65704 0.0181582
39 1.33794 1.67503 0.369397 3.69434 0.0204565
40 1.32456 1.2378 0.811433 1.10038 0.0249217
41 1.31132 0.776011 1.28378 1.30474 0.0560973
42 1.29821 0.573872 0.913903 -0.263461 0.00855017
43 1.28522 0.573872 0.913903 -0.254296 0.00873183
44 1.27237 0.80993 0.851931 -0.189365 0.0128506
45 1.25965 0.408427 0.802663 -0.231064 0.00507114
46 1.24705 0.408427 0.802663 -0.232094 0.00486527
47 1.23458 0.408427 0.802663 -0.233805 0.00551263
48 1.22223 0.447874 0.677849 -0.169767 0.00500612
