#BLOCK: ENERGY: ERROR:
1 -0.421421 0
2 -0.394148 0.0272725
3 -0.400208 0.0168718
4 -0.403899 0.0124881
5 -0.405605 0.00982241
6 -0.411534 0.00997376
7 -0.411477 0.00842956
8 -0.409239 0.00763565
9 -0.41478 0.00872081
10 -0.414447 0.00780723
11 -0.414074 0.00707175
12 -0.411334 0.0070131
13 -0.412796 0.00661476
14 -0.40958 0.00691702
15 -0.411602 0.00674934
16 -0.411091 0.00633406
17 -0.410848 0.00595481
18 -0.41254 0.00586388
19 -0.41186 0.00558826
20 -0.412121 0.00530794
21 -0.412622 0.00507359
22 -0.41315 0.00486619
23 -0.413217 0.0046503
24 -0.412166 0.00457482
25 -0.410468 0.00470512
26 -0.41085 0.00453667
27 -0.409524 0.00456226
28 -0.41042 0.00448669
29 -0.40831 0.00481608
30 -0.41053 0.00515519
31 -0.412813 0.00548374
32 -0.412453 0.0053218
33 -0.412628 0.00516098
34 -0.414589 0.0053771
35 -0.413189 0.0054055
36 -0.413402 0.0052575
37 -0.413863 0.0051342
38 -0.41434 0.00501995
39 -0.414409 0.00489003
40 -0.41479 0.00478141
41 -0.415117 0.00467477
42 -0.414249 0.00464405
43 -0.413701 0.00456776
44 -0.41369 0.00446275
45 -0.413683 0.00436245
46 -0.413398 0.00427606
47 -0.414042 0.00423329
48 -0.41374 0.00415511
49 -0.413398 0.00408374
50 -0.413333 0.00400176
51 -0.413851 0.00395657
52 -0.413992 0.00388229
53 -0.414049 0.00380875
54 -0.414571 0.00377383
55 -0.414322 0.00371294
56 -0.413617 0.00371357
57 -0.414145 0.00368595
58 -0.412963 0.00380994
59 -0.412566 0.00376577
60 -0.412696 0.00370475
61 -0.413658 0.00376838
62 -0.412725 0.00382268
63 -0.412561 0.00376508
64 -0.41288 0.00371948
65 -0.412922 0.00366205
66 -0.412592 0.00362114
67 -0.412451 0.0035695
68 -0.412435 0.00351665
69 -0.412232 0.00347129
70 -0.412945 0.00349487
71 -0.412935 0.00344531
72 -0.413312 0.00341804
73 -0.413851 0.00341366
74 -0.413882 0.00336737
75 -0.413401 0.00335689
76 -0.412739 0.00337792
77 -0.413033 0.00334669
78 -0.412814 0.00331075
79 -0.412937 0.00327089
80 -0.413205 0.00324084
81 -0.41322 0.00320062
82 -0.413311 0.00316265
83 -0.413911 0.00318142
84 -0.413547 0.00316435
85 -0.413403 0.00313023
86 -0.412983 0.00312196
87 -0.41322 0.00309499
88 -0.412971 0.00306978
89 -0.413197 0.00304349
90 -0.413634 0.00304109
91 -0.414155 0.00305229
92 -0.413784 0.00304165
93 -0.414036 0.00301928
94 -0.414004 0.00298716
95 -0.414144 0.00295885
96 -0.414214 0.00292871
97 -0.413846 0.00292161
98 -0.414333 0.00293238
99 -0.414355 0.00290268
100 -0.414693 0.0028934
