# Generazione: Individuo: Fitness:
0 1 28.2317
0 2 28.6515
0 3 29.4281
0 4 29.6738
0 5 29.7735
0 6 30.316
0 7 31.3822
0 8 31.4116
0 9 31.8886
0 10 31.8929
0 11 32.3226
0 12 32.6497
0 13 32.7784
0 14 32.781
0 15 32.8358
0 16 32.8621
0 17 33.0452
0 18 33.1614
0 19 33.3681
0 20 33.7254
0 21 34.0657
0 22 34.067
0 23 34.0996
0 24 34.1247
0 25 34.3522
0 26 34.427
0 27 34.4558
0 28 34.5446
0 29 34.6422
0 30 34.8338
0 31 34.9144
0 32 35.0125
0 33 35.1193
0 34 35.1701
0 35 35.4714
0 36 35.5931
0 37 35.6001
0 38 35.7188
0 39 35.7323
0 40 35.8733
0 41 36
0 42 36.0206
0 43 36.0872
0 44 36.0979
0 45 36.1193
0 46 36.1303
0 47 36.1419
0 48 36.4814
0 49 36.482
0 50 36.5164
0 51 36.7316
0 52 36.7387
0 53 36.7848
0 54 37.0011
0 55 37.0202
0 56 37.0489
0 57 37.1559
0 58 37.2449
0 59 37.2701
0 60 37.3854
0 61 37.4624
0 62 37.5257
0 63 37.5561
0 64 37.6732
0 65 37.7142
0 66 37.7289
0 67 37.8235
0 68 37.8245
0 69 37.877
0 70 37.9962
0 71 38.0375
0 72 38.0871
0 73 38.1661
0 74 38.1823
0 75 38.279
0 76 38.3625
0 77 38.4196
0 78 38.5328
0 79 38.5782
0 80 38.6435
0 81 38.6961
0 82 38.7099
0 83 38.7207
0 84 38.7212
0 85 38.8923
0 86 38.9086
0 87 38.9115
0 88 38.9199
0 89 38.9929
0 90 39.0493
0 91 39.0564
0 92 39.0657
0 93 39.0736
0 94 39.1055
0 95 39.1482
0 96 39.2224
0 97 39.3858
0 98 39.4102
0 99 39.4328
0 100 39.4771
0 101 39.5099
0 102 39.5253
0 103 39.5798
0 104 39.5903
0 105 39.6369
0 106 39.6908
0 107 39.7564
0 108 39.7823
0 109 39.8793
0 110 39.9923
0 111 40.0582
0 112 40.135
0 113 40.1422
0 114 40.1687
0 115 40.2646
0 116 40.2698
0 117 40.2954
0 118 40.411
0 119 40.4148
0 120 40.4405
0 121 40.5162
0 122 40.6666
0 123 40.711
0 124 40.7808
0 125 40.7964
0 126 40.9982
0 127 41.0051
0 128 41.0727
0 129 41.0885
0 130 41.1298
0 131 41.1523
0 132 41.3214
0 133 41.3608
0 134 41.3951
0 135 41.4068
0 136 41.5078
0 137 41.5473
0 138 41.5835
0 139 41.6339
0 140 41.6385
0 141 41.6482
0 142 41.7267
0 143 41.7841
0 144 41.7875
0 145 41.8358
0 146 41.8489
0 147 41.88
0 148 41.913
0 149 41.9419
0 150 42.0736
0 151 42.1372
0 152 42.3225
0 153 42.4136
0 154 42.6016
0 155 42.6292
0 156 42.8346
0 157 42.8529
0 158 42.8905
0 159 42.9428
0 160 43.0241
0 161 43.0321
0 162 43.207
0 163 43.375
0 164 43.4933
0 165 43.5665
0 166 43.8179
0 167 44.0433
0 168 44.4256
0 169 44.4416
0 170 44.5413
0 171 44.5732
0 172 44.6143
0 173 44.7392
0 174 44.7638
0 175 44.8245
0 176 44.882
0 177 44.8949
0 178 45.0876
0 179 45.2719
0 180 45.5541
0 181 45.6763
0 182 45.7032
0 183 45.7592
0 184 45.9818
0 185 46.0666
0 186 46.0804
0 187 46.3092
0 188 46.5058
0 189 46.5443
0 190 47.1539
0 191 47.1848
